source_id,name,type,region,access,url,best_use,data_fit,priority
ISED_NAPCS_CANADA_2022,NAPCS Canada 2022,official_classification,Canada,Already packaged,https://www.statcan.gc.ca/en/subjects/standard/napcs/2022/index,"Official goods/services classification for construction materials, tools and services.",classification,1
CCMC_REGISTRY,Canadian Construction Materials Centre Registry,code_compliance_registry,Canada,Public searchable registry,https://nrc.canada.ca/en/certifications-evaluations-standards/canadian-construction-materials-centre/ccmc-publications/registry.html,Canadian code-compliance/evaluation evidence for building products and systems.,evidence,1
NRCAN_SPL,Natural Resources Canada Searchable Product List,energy_efficiency_product_list,Canada,Public searchable list,https://spl-lpi.nrcan-rncan.gc.ca/,"Energy-performance comparisons for windows, doors, skylights and other products.",verified_product_list,1
ENERGY_STAR_CANADA,ENERGY STAR Canada Certified Products,certified_product_lists,Canada,Public product list,https://natural-resources.canada.ca/energy-efficiency/energy-star/products/list-certified-products,Product efficiency certification and category validation.,certification,1
LOWES_PRODUCT_CATALOG_API,Lowe's Product Catalog API,retailer_product_api,US,Developer portal/API key likely required,https://developer.lowes.com/portal/business-components/Product%20Catalog/,"Current products, prices, promotions, inventory and localized product info.",live_offer_source,2
LOWES_API_PORTAL,Lowe's API Portal,developer_portal,US,Sign up for API key,https://portal.apim.lowes.com/,Developer/API access for Lowe's product and operations APIs.,access_path,2
HOME_DEPOT_SUPPLIER_HUB,The Home Depot Supplier Hub,supplier_portal,US/Canada,Supplier access; not a public product API,https://supplierhub.homedepot.com/,Official supplier-side path; not a public product catalogue feed.,supplier_access_path,3
HOME_DEPOT_SERPAPI,SerpApi Home Depot Search/Product APIs,third_party_retail_api,US/Canada,Paid API,https://serpapi.com/home-depot-search-api,Structured Home Depot US/Canada product search data when official access unavailable.,paid_live_offer_source,3
RONA_SUPPLIER_DOCUMENTATION,RONA Product Supplier Documentation,supplier_guidelines,Canada,Public docs + supplier login,https://vendors.rona.ca/product-supplier/documentation,"RONA product-content fields, photo rules, dropship vendor expectations and onboarding data requirements.",template_design,2
RONA_DROPSHIP_GUIDE,RONA Dropship Operational Guide,supplier_catalog_onboarding_guide,Canada,Public PDF,https://vendors.rona.ca/media/unnlaaso/rona-dropship-operational-guide.pdf,RONA product onboarding workflow and advanced catalog expectations.,template_process,2
HOME_HARDWARE_SUPPLIER_GUIDE,Home Hardware Supplier Guide,supplier_policy_catalog_guidelines,Canada,Public PDF,https://homehardware.sirv.com/supplier-guide/HHSL%20Supplier%20Guide%20Version%203.1.pdf,"Canadian supplier/product program rules, made-in-Canada fields and quality expectations.",template_process,2
HOME_HARDWARE_PUBLIC_SITE,Home Hardware public catalogue,retailer_public_site,Canada,Public website; no obvious public API,https://www.homehardware.ca/en/,Manual/searchable current public retail product reference; API/manual extraction path TBD.,current_public_offer_reference,3
ICC_ES_REPORTS,ICC-ES Reports Directory,code_compliance_reports,US/international,Public searchable reports,https://icc-es.org/reports-directory/,Evaluation evidence for code officials and approved building products.,evidence,2
UL_PRODUCT_IQ,UL Product iQ,certification_database,US/Canada/international,Free account/login usually required,https://productiq.ulprospector.com/,UL-certified product evidence and safety/compliance lookups.,certification,2
ARCAT_CATALOGS,ARCAT Building Product Catalogs,manufacturer_catalog_directory,US/Canada/international,Public/free catalog and BIM downloads,https://www.arcat.com/content-type/catalog,"Manufacturer catalogs, specs, CAD/BIM details and construction product categories.",catalog_spec_conversion,2
SWEETS,Sweets Construction Product Directory,building_product_directory,US/Canada/international,Public directory,https://sweets.construction.com/,"Manufacturer product pages, CAD details, BIM objects, specs and green product info.",catalog_spec_reference,2
BIMOBJECT,BIMobject,BIM_manufacturer_object_directory,Global,Free account/download; API/embed docs,https://www.bimobject.com/en-ca,Manufacturer BIM objects and structured product info for building products.,bim_reference,3
BIMOBJECT_API_DOCS,BIMobject API documentation,BIM_download_embed_API,Global,Public GitHub docs,https://github.com/bimobject/api-documentation,Embed previews/downloads; possible integration reference.,api_documentation,3
BIM_AND_CO,BIM&CO,BIM_object_platform,Global,Public/free account likely,https://www.bimandco.com/bim/,Manufacturer or generic 2D/3D BIM objects in RFA/SKP/IFC etc.,bim_reference,3
