acquisition_method,domain,expected_rows,job_id,next_action,notes,priority,source_id,source_name,status,target_record_type,url,vendor_positive_use
account_api_or_commercial_feed,auto_parts_fitment,unknown,ACQ-0001,request_api_key_account_or_feed_access,"Authoritative aftermarket data standards: ACES for fitment, PIES for product/part information.",1,AUTOCARE_ACES_PIES,Auto Care Association ACES / PIES data standards,not_started,source,https://www.autocare.org/data-standards,attribute_vendor_and_link_to_source
manual_review,auto_parts_fitment,unknown,ACQ-0002,open_source_review_then_assign_connector_type,"Vehicle configuration, part categories, qualifiers and brand reference tables for serious fitment work.",1,AUTOCARE_VCDB_PCDB,Auto Care VCdb / PCdb / Qdb / Brand Table,not_started,source,https://www.autocare.org/data-standards,attribute_vendor_and_link_to_source
direct_download_or_public_api,auto_parts_fitment,unknown,ACQ-0003,download_bulk_file_or_call_public_api,Vehicle make/model/year/manufacturer reference layer; not a parts catalog.,1,NHTSA_VPIC,NHTSA vPIC vehicle API,not_started,offer_or_catalog,https://vpic.nhtsa.dot.gov/api/,attribute_vendor_and_link_to_source
direct_download_or_public_api,computer_it_communications,unknown,ACQ-0004,download_bulk_file_or_call_public_api,"Certified computers with brand/model, type, processor, memory, energy metrics and UPC/model information where provided.",1,ENERGY_STAR_COMPUTERS,ENERGY STAR Certified Computers V9.0,not_started,source,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Computers-V9-0/rxdj-2c88,attribute_vendor_and_link_to_source
manual_review,computer_it_communications,unknown,ACQ-0005,open_source_review_then_assign_connector_type,"Computers/displays, servers, imaging equipment, mobile phones and electronics sustainability certifications.",1,EPEAT_REGISTRY,EPEAT Registry,not_started,evidence,https://www.epeat.net/product-finder,attribute_vendor_and_link_to_source
direct_download_or_public_api,computer_it_communications,unknown,ACQ-0006,download_bulk_file_or_call_public_api,Bulk price catalogue and inventory flat files; likely better for bulk catalog population than cyclic API calls.,1,INGRAM_MICRO_FLAT_FILES,Ingram Micro price/inventory flat files,not_started,offer_or_catalog,https://developer.ingrammicro.com/sites/default/files/apidoc_specs/catalog.v1_16.yaml,attribute_vendor_and_link_to_source
manual_review,computer_it_communications,unknown,ACQ-0007,open_source_review_then_assign_connector_type,"Radio equipment list, testing laboratories and company registration search tools for Canadian compliance.",1,ISED_EQUIPMENT_CERT_REG,ISED Equipment Certification and Registration Services,not_started,evidence,https://ised-isde.canada.ca/site/spectrum-management-system/en/equipment-certification-and-registration-services,attribute_vendor_and_link_to_source
manual_review,computer_it_communications,unknown,ACQ-0008,open_source_review_then_assign_connector_type,"Certified radio equipment approved for use in Canada; evidence layer for phones, radios, Wi-Fi, Bluetooth, microwave/RF devices.",1,ISED_REL,ISED Radio Equipment List,not_started,evidence,https://ised-isde.canada.ca/site/certification-engineering-bureau/en/wireless-program/radio-equipment-list-rel,attribute_vendor_and_link_to_source
direct_download_or_public_api,computer_it_communications,unknown,ACQ-0009,download_bulk_file_or_call_public_api,"Official vendor/product/version identifiers for software, operating systems and hardware platforms; vulnerability linkage.",1,NVD_CPE_DICTIONARY,NIST NVD Official CPE Dictionary,not_started,classification,https://nvd.nist.gov/products/cpe,attribute_vendor_and_link_to_source
manual_review,furnishings_furniture,unknown,ACQ-0010,open_source_review_then_assign_connector_type,"Furniture safety/durability standards evidence, especially office and institutional furniture.",1,BIFMA_COMPLIANT,BIFMA Compliant registry,not_started,evidence,https://www.bifma.org/page/bifma-compliant,attribute_vendor_and_link_to_source
