source_id,name,type,region,access,url,best_use,data_fit,priority
STAPLES_CANADA_PUBLIC_SITE,Staples Canada public catalogue,retailer_public_site,Canada,Public website; store selection affects stock/pickup/delivery,https://www.staples.ca/,"Office supplies, paper, ink/toner, tech, furniture, school supplies, cleaning/breakroom and print services.",current_public_offer_reference,1
STAPLES_CA_EPROCUREMENT,Staples Canada e-Procurement integration,business_procurement_integration,Canada,Business integration/account path,https://www.staples.ca/a/content/e-procurement,"Automated shopping, purchase orders, invoicing and controlled business procurement.",procurement_access_path,1
STAPLES_ADVANTAGE_EPROCUREMENT,Staples Business Advantage eProcurement integrations,business_procurement_punchout,US/North America,Business account / integration required,https://www.staplesadvantage.com/learn/eprocurement-integrations,PunchOut/eProcurement approach for enterprise/catalog integration.,procurement_access_path,1
STAPLES_ADVANTAGE,Staples Business Advantage / Staples Business,business_retail_catalog,US/North America,Free business account; catalog/integration features vary,https://www.staplesadvantage.com/,"Business office supplies, procurement controls and product catalogue access.",current_business_catalog,2
DOLLARAMA_PUBLIC_SITE,Dollarama public website,retailer_public_site,Canada,Public website; product browsing limited/variable,https://www.dollarama.com/en-ca/,"Low-cost general merchandise, seasonal items, household goods, party, craft, food/snacks, cleaning and small office supplies.",current_public_offer_reference,2
DOLLARAMA_INSTACART,Dollarama on Instacart Canada,delivery_marketplace_catalog,Canada,Public marketplace; product availability depends on local store/market,https://www.instacart.ca/store/dollarama/storefront,Current local Dollarama delivery catalogue rows where available.,marketplace_offer_reference,2
DOLLARAMA_UBEREATS,Dollarama on Uber Eats,delivery_marketplace_catalog,Canada,Public marketplace; product availability depends on local store/market,https://www.ubereats.com/ca/brand/dollarama,Current local Dollarama product browsing through delivery marketplace where available.,marketplace_offer_reference,3
GS1_GPC,GS1 Global Product Classification,official_global_product_classification,global,Public browser and standard files,https://www.gs1.org/standards/gpc/access-gpc-standards,"Classification backbone for office supplies, stationery, cleaning goods, housewares and general merchandise.",classification,1
GS1_CA_ECCNET,GS1 Canada ECCnet Registry / Content API,canadian_product_registry_api,Canada,GS1 Canada membership/API access required,https://gs1ca.org/content-access/,"Canadian product listing data, product data and image access through ECCnet Content API.",product_registry_api,2
OPEN_PRODUCTS_FACTS,Open Products Facts,open_product_database,global,Open data / API; coverage uneven,https://world.openproductsfacts.org/,Open product database for non-food goods; useful for general merchandise/barcode/product identity experiments.,open_product_reference,3
OPEN_BEAUTY_FACTS,Open Beauty Facts,open_product_database,global,Open data / API,https://world.openbeautyfacts.org/,Cosmetics/personal care goods that often overlap dollar-store/general-merchandise categories.,open_product_reference,3
OPEN_FOOD_FACTS,Open Food Facts,open_food_product_database,global,Open data/API; bulk downloads available,https://world.openfoodfacts.org/data,Food/snacks/beverages sold in office and discount retail channels; strong barcode/product identity source.,open_product_reference,2
GO_UPC,Go-UPC Global Barcode Database API,global_barcode_product_api,global,Paid/free tier API,https://go-upc.com/,"UPC/EAN/ISBN barcode lookup for office supplies, stationery and general merchandise when barcode is known.",barcode_lookup,3
BIG_PRODUCT_DATA,Big Product Data API,large_barcode_product_database_api,global,RapidAPI / paid API,https://rapidapi.com/bigproductdata/api/big-product-data,Large UPC/GTIN/EAN/ISBN lookup source for product identity enrichment.,barcode_lookup,4
UPCITEMDB,UPCitemdb,barcode_product_database_api,global,API/free-limited or paid,https://www.upcitemdb.com/,"Barcode lookup for general merchandise, office supplies and packaged goods.",barcode_lookup,3
UNSPSC,UNSPSC commodity classification,global_commodity_classification,global,Public classification browser/download options vary,https://www.unspsc.org/,"Procurement-friendly classification for office supplies, business equipment, cleaning supplies and services.",classification,2
AMAZON_PRODUCT_ADVERTISING_API,Amazon Product Advertising API,retail_marketplace_api,US/Canada/global,Associate account/API credentials required,https://webservices.amazon.com/paapi5/documentation/,Marketplace product lookup for office supplies/general merchandise where credentials and terms allow.,marketplace_offer_source,4
WALMART_MARKETPLACE_API,Walmart Marketplace APIs,retail_marketplace_api,US/Canada varies,Marketplace seller/API access required,https://developer.walmart.com/,"Possible offer/reference source for low-cost general merchandise, office supplies and housewares.",marketplace_offer_source,4
