category,domain,notes
Office Paper / Notebooks,office_supplies,"copy paper, notebooks, pads, journals, sticky notes"
Writing Instruments,office_supplies,"pens, pencils, markers, highlighters"
Desk Supplies,office_supplies,"staplers, tape, clips, scissors, rulers, organizers"
Binders / Filing / Storage,office_supplies,"binders, folders, file boxes, labels"
Ink / Toner / Printing Supplies,office_supplies,"ink cartridges, toner, labels, printer paper"
Office Technology,office_equipment,"calculators, shredders, laminators, phones, webcams"
Office Furniture,office_furniture,"chairs, desks, shelving, mats"
School Supplies,education_supplies,"backpacks, crayons, binders, craft supplies"
Cleaning / Janitorial,facility_supplies,"cleaners, wipes, paper towels, garbage bags, dispensers"
Breakroom / Coffee / Snacks,facility_supplies,"coffee, cups, plates, cutlery, snacks, beverages"
Shipping / Mailing,office_supplies,"envelopes, boxes, tape, bubble mailers, labels"
Dollar-store General Merchandise,low_cost_general,"seasonal goods, party, toys, crafts, household basics"
Household Basics,low_cost_general,"storage, kitchen tools, laundry, bath, small hardware"
Personal Care / Beauty,low_cost_general,"soap, shampoo, cosmetics, dental, grooming"
Pet / Garden / Outdoor,low_cost_general,"seasonal outdoor, garden, pet accessories"
Party / Craft / Seasonal,low_cost_general,"decorations, gift wrap, craft supplies, holiday goods"
Commodity / Barcode Evidence,evidence,"GS1, UPC/EAN, product identity, package size, brand"
Procurement / PunchOut Evidence,evidence,"business account catalog, cXML/OCI/PunchOut/EDI, approval controls"
