acquisition_method,domain,expected_rows,job_id,next_action,notes,priority,source_id,source_name,status,target_record_type,url,vendor_positive_use
direct_download_or_public_api,auto_parts_fitment,unknown,ACQ-0003,download_bulk_file_or_call_public_api,Vehicle make/model/year/manufacturer reference layer; not a parts catalog.,1,NHTSA_VPIC,NHTSA vPIC vehicle API,not_started,offer_or_catalog,https://vpic.nhtsa.dot.gov/api/,attribute_vendor_and_link_to_source
direct_download_or_public_api,computer_it_communications,unknown,ACQ-0004,download_bulk_file_or_call_public_api,"Certified computers with brand/model, type, processor, memory, energy metrics and UPC/model information where provided.",1,ENERGY_STAR_COMPUTERS,ENERGY STAR Certified Computers V9.0,not_started,source,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Computers-V9-0/rxdj-2c88,attribute_vendor_and_link_to_source
direct_download_or_public_api,computer_it_communications,unknown,ACQ-0006,download_bulk_file_or_call_public_api,Bulk price catalogue and inventory flat files; likely better for bulk catalog population than cyclic API calls.,1,INGRAM_MICRO_FLAT_FILES,Ingram Micro price/inventory flat files,not_started,offer_or_catalog,https://developer.ingrammicro.com/sites/default/files/apidoc_specs/catalog.v1_16.yaml,attribute_vendor_and_link_to_source
manual_review,computer_it_communications,unknown,ACQ-0008,open_source_review_then_assign_connector_type,"Certified radio equipment approved for use in Canada; evidence layer for phones, radios, Wi-Fi, Bluetooth, microwave/RF devices.",1,ISED_REL,ISED Radio Equipment List,not_started,evidence,https://ised-isde.canada.ca/site/certification-engineering-bureau/en/wireless-program/radio-equipment-list-rel,attribute_vendor_and_link_to_source
direct_download_or_public_api,computer_it_communications,unknown,ACQ-0009,download_bulk_file_or_call_public_api,"Official vendor/product/version identifiers for software, operating systems and hardware platforms; vulnerability linkage.",1,NVD_CPE_DICTIONARY,NIST NVD Official CPE Dictionary,not_started,classification,https://nvd.nist.gov/products/cpe,attribute_vendor_and_link_to_source
account_api_or_commercial_feed,housewares_kitchen_appliances_clothing,unknown,ACQ-0014,request_api_key_account_or_feed_access,"Large current/historical product catalog with pricing, availability, specifications, descriptions and images; strong for appliances and electronics.",1,BEST_BUY_PRODUCTS_API,Best Buy Products API,not_started,offer_or_catalog,https://developer.bestbuy.com/apis,attribute_vendor_and_link_to_source
manual_review,housewares_kitchen_appliances_clothing;office_supplies_low_cost_general;product_identity_barcode_classification;furnishings_furniture;tools_fasteners_hardware_property_cabinet,unknown,ACQ-0018,open_source_review_then_assign_connector_type,"Classification backbone for housewares, kitchenware, appliances, apparel, footwear and accessories.",1,GS1_GPC,GS1 Global Product Classification,not_started,classification,https://www.gs1.org/standards/gpc/access-gpc-standards,attribute_vendor_and_link_to_source
direct_download_or_public_api,housewares_kitchen_appliances_clothing;product_identity_barcode_classification,unknown,ACQ-0019,download_bulk_file_or_call_public_api,"Appliances and energy-related household products such as refrigerators, freezers, dishwashers, cooking products, clothes washers, dryers, room AC and dehumidifiers.",1,ENERGY_STAR_PRODUCT_FINDER,ENERGY STAR Product Finder datasets,not_started,source,https://www.energystar.gov/productfinder/advanced,attribute_vendor_and_link_to_source
manual_review,office_supplies_low_cost_general,unknown,ACQ-0025,open_source_review_then_assign_connector_type,Structured office-supply business catalog integration path using punchout/API/SSO style workflows.,1,STAPLES_ADVANTAGE_PUNCHOUT,Staples Business Advantage eProcurement / PunchOut,not_started,offer_or_catalog,https://www.staplesadvantage.com/learn/eprocurement-integrations,attribute_vendor_and_link_to_source
account_api_or_commercial_feed,product_identity_barcode_classification,unknown,ACQ-0028,request_api_key_account_or_feed_access,"Canadian standardized listing data, product data and product images from ECCnet Registry.",1,GS1_CA_ECCNET_CONTENT_API,GS1 Canada ECCnet Content API,not_started,offer_or_catalog,https://gs1ca.org/content-access/,attribute_vendor_and_link_to_source
direct_download_or_public_api,product_identity_barcode_classification,unknown,ACQ-0030,download_bulk_file_or_call_public_api,"Large open barcode database for food, snacks, beverages, ingredients, nutrition, allergens, packaging and images.",1,OPEN_FOOD_FACTS,Open Food Facts,not_started,source,https://world.openfoodfacts.org/data,attribute_vendor_and_link_to_source
already_imported_reference,product_identity_barcode_classification;furnishings_furniture;tools_fasteners_hardware_property_cabinet,unknown,ACQ-0032,reuse_existing_import_and_crosswalk,Canadian product and service classification backbone.,1,NAPCS_CANADA_2022,NAPCS Canada 2022,not_started,classification,https://www.statcan.gc.ca/en/subjects/standard/napcs/2022/index,attribute_vendor_and_link_to_source
pdf_or_catalog_parse,tools_fasteners_hardware_property_cabinet,unknown,ACQ-0033,download_pdf_or_catalog_pages_then_extract_tables,"Drawer slide models, capacity, extension, mounting, cabinet/furniture/industrial drawer-slide specs.",1,ACCURIDE_DRAWER_SLIDE_CATALOG,Accuride Drawer Slide Wood Catalog,not_started,offer_or_catalog,https://www.accuride.com/media/pdf/accuride-drawer-slide-wood-catalog-2018.pdf,attribute_vendor_and_link_to_source
manual_review,tools_fasteners_hardware_property_cabinet,unknown,ACQ-0034,open_source_review_then_assign_connector_type,"Blum hinges, lift systems, box systems, runners, pocket systems, assembly devices, cabinet hardware technical data.",1,BLUM_CATALOGUE_2024_2025,Blum Catalogue and Technical Manual 2024/2025,not_started,offer_or_catalog,https://publications.blum.com/2024/catalogue/en/,attribute_vendor_and_link_to_source
account_api_or_commercial_feed,tools_fasteners_hardware_property_cabinet,unknown,ACQ-0036,request_api_key_account_or_feed_access,"Canadian Tire product/catalog/retail API path for tools, hardware, automotive, home/property goods.",1,CANADIAN_TIRE_DEVELOPER,Canadian Tire Developer Program,not_started,offer_or_catalog,https://developer.cantire.com/,attribute_vendor_and_link_to_source
public_site_catalog_parse,tools_fasteners_hardware_property_cabinet,unknown,ACQ-0037,seed_category_urls_then_extract_jsonld_or_product_cards,"Fasteners, OEM/MRO/construction/industrial/safety products and technical catalog structure.",1,FASTENAL_CATALOGS,Fastenal catalogues,not_started,offer_or_catalog,https://www.fastenal.com/fast/catalogs,attribute_vendor_and_link_to_source
pdf_or_catalog_parse,tools_fasteners_hardware_property_cabinet,unknown,ACQ-0038,download_pdf_or_catalog_pages_then_extract_tables,"Fastener grades, specifications, sizes, tensile values and technical reference facts.",1,FASTENAL_FASTENER_REFERENCE_GUIDE,Fastenal Fastener Reference Guide PDF,not_started,evidence,https://www.fastenal.com/content/merch_rules/images/fcom/content-library/Fastener%20Reference%20Guide.pdf,attribute_vendor_and_link_to_source
