conversion_mode,domain,expected_tables,notes,priority,recommended_path,scope,sector,sensitivity,source_group,source_type,status,title,uid,vendor,year
Local processor; product identity and survival-value extracts,Food / Survival / Consumer Products,food_product_identity; food_survival_value; food_brand_index; food_store_index; food_category_bricks,Already locally processed in first Canada run; raw JSONL stays local.,High,data-sources/open_food_facts/,International; National,Human / Consumer; Market / Exchange,Normal,official,Open Data Bulk,Current open-data source,Open Food Facts bulk database,SRC-0001,Open Food Facts,current bulk
Official taxonomy import; crosswalk layer,Product / Goods / Services Classification,napcs_nodes; napcs_leaf_nodes; napcs_elements; comparator_crosswalk,"Use as official classification crosswalk, not as user-facing need tree replacement.",High,Comparator-definitions/taxonomy/canada/NAPCS_2022/,National,Market / Exchange; Business / Commercial; Public / Government,Normal,official,Official Classification,Current official reference,NAPCS Canada 2022 product classification,SRC-0002,Statistics Canada,2022
Normalized calibration profiles,Small Business Calibration,business_type_calibration_profiles; financial_ratio_benchmarks; expense_benchmarks,Already packaged as GitHub-safe v0.2; raw ZIP should stay as Release asset.,High,data-sources/ised_fpd_2024/,National; Provincial,Business / Commercial; Finance / Capital,Normal,official,Official Business Financial Benchmark,Current official benchmark,ISED Financial Performance Data 2024,SRC-0003,"Innovation, Science and Economic Development Canada",2024
StatCan Cube Importer v0.1,Population / Labour / Education / CPI / Demographics,source_inventory; zip_inventory; cube_metadata; dimensions; dimension_members; observations_parquet; comparator_mapping,Initial sample import succeeded; latest-PID refresh is next.,High,data-sources/statcan_cubes/,National; Provincial,Public / Government; Human / Consumer; Market / Exchange,Aggregate statistics only,official,Official Statistical Cubes,Stale local copies; refreshable by PID,Statistics Canada cube downloads,SRC-0004,Statistics Canada,various; local copies dated 2021
Crosswalk/product identity reference,Barcodes / GPC Bricks / Product Identity,gpc_segments; gpc_families; gpc_classes; gpc_bricks; barcode_identity_crosswalk,Use brick terminology for product-level datagrid refinement.,High,data-sources/product_identity/gs1_gpc/,International; National,Market / Exchange; Business / Commercial,Normal,target,Product Identity / Classification Reference,Acquisition target,GS1 GPC Browser and barcode/product identity references,SRC-0005,GS1 / GS1 Canada,current
CPE dictionary import,Computer / IT product identity,software_hardware_cpe; vendor_product_versions,"Useful for IT/software product identity, not retail SKU pricing.",Medium,data-sources/it_products/nvd_cpe/,International,Information / Records; Market / Exchange,Normal,target,Open Technical Classification,Acquisition target,NVD CPE,SRC-0006,NIST / NVD,current
Downloadable CSV/product dataset,Appliances / HVAC / Energy,certified_products; efficiency_specs; category_crosswalk,High value for appliance and building-system comparison.,High,data-sources/energy_appliances/energy_star/,National; International,Human / Consumer; Market / Exchange; Resources / Environment,Normal,target,Open Product/Efficiency Dataset,Acquisition target,ENERGY STAR product datasets,SRC-0007,ENERGY STAR,current
API/CSV vehicle reference,Vehicles / Safety / VIN,vehicle_make_model; safety_recalls; vin_decode_fields,Use to refresh vehicle taxonomy and current safety info.,High,data-sources/transportation/nhtsa/,National,Human / Consumer; Public / Government; Market / Exchange,Normal,target,Open Vehicle Dataset,Acquisition target,NHTSA vehicle datasets,SRC-0008,NHTSA,current
PDF table extraction by section,Industrial Components / Hardware / Fasteners / Motion / Electronics,industrial_components; essentra_category_tree; component_spec_dictionary,"Over 1,000 pages; structured contents and repeated item/spec tables.",Very High,data-sources/catalog_conversions/industrial_components/essentra_2014/,Organizational,Business / Commercial; Market / Exchange,Normal,catalog,Industrial Component Catalog,Historical catalog; current families likely online,Essentra Components Catalog Volume 14,SRC-0100,Essentra Components / Alliance / Reid / Richco,2014
Small PDFs; direct table extraction,Truck Body / Camper / Emergency Vehicle Components,truck_body_hardware_items; truck_body_hardware_category_tree; truck_body_spec_dictionary,"Handles, locks/latches, gas springs, hinges, adhesives, rubber, fasteners, cargo control, heaters, lights.",Very High,data-sources/catalog_conversions/truck_body_hardware/faucher/,Organizational,Business / Commercial; Market / Exchange,Normal,catalog,Truck Body Hardware Catalog Set,Historical/current mixed; many items likely current equivalents,Faucher complete truck-body hardware set,SRC-0101,Faucher,2011-2014
Section extraction and safety-rule dictionary,Hydraulic Hose / Fittings / Safety / Crimping,hose_products; hose_fittings; crimp_equipment; hose_selection_rules; safety_notes,Keep safety warnings and do-not-mix rules attached to records.,Very High,data-sources/catalog_conversions/fluid_power/parker_hose_4400/,Organizational,Business / Commercial; Market / Exchange,Safety-critical technical selection,catalog,Fluid Power / Hose Catalog,Historical catalog; technical reference,"Parker Hose, Fittings and Equipment Catalog 4400",SRC-0102,Parker Hannifin,2015
Large catalog; sectioned extraction queue,Industrial MRO / Tools / Fasteners / Safety / Automotive / Hose,gregg_catalog_items; gregg_section_tree; supplier_branch_records; mro_category_index,"2,600+ pages; convert by section rather than whole catalog at once.",Very High,data-sources/catalog_conversions/canadian_industrial_supply/gregg_2016/,Organizational; Provincial/State,Business / Commercial; Human / Consumer; Market / Exchange,Normal; safety sections flagged,catalog,Canadian Industrial Supply Catalog,Historical catalog; Canadian supplier reference,Gregg Distributors Product Catalogue,SRC-0103,Gregg Distributors Ltd.,2016
"Profiles, fasteners, panels, add-ons, linear motion tables",T-Slot Aluminum / Modular Framing / Machine Guards / Workstations,t_slot_profiles; modular_fasteners; panels_doors; add_on_components; profile_spec_dictionary,Duplicate uploaded as Catalog_20_20 and Catalog_80_20; keep one master source.,Very High,data-sources/catalog_conversions/modular_framing/8020_catalog_20/,Organizational; Personal,Business / Commercial; Market / Exchange,Normal,catalog,Modular Framing System Catalog,Historical catalog; current online refresh possible,80/20 Catalog 20,SRC-0104,80/20 Inc.,circa 2014
Catalog-set extraction with technical notes,Vehicle Lighting / Wiring / Connectors / Fuse Protection,vehicle_lighting; electrical_connectors; fuse_circuit_protection; interchange_lists; technical_notes,"Includes lighting, electrical connection, fuse/circuit protection.",Very High,data-sources/catalog_conversions/vehicle_electrical/grote_2016/,Organizational,Business / Commercial; Market / Exchange,Safety-critical vehicle electrical,catalog,Vehicle Electrical / Lighting Catalog Set,Historical catalog; current online likely,Grote Lighting Systems and Electrical Catalogs,SRC-0105,Grote,2016
Technical catalog extraction with standards fields,Power Cable Connectors / Cable Lugs / Overhead Clamps,mechanical_connectors; cable_lugs; overhead_line_clamps; conductor_compatibility; standards_notes,Flag voltage ranges and VDE/IEC references; not consumer DIY guidance.,High,data-sources/catalog_conversions/electrical_power/gph_nexans/,Organizational,Business / Commercial; Infrastructure / Logistics; Public / Government,Safety-critical electrical power,catalog,Electrical Power Hardware Catalog Set,Historical technical catalog,"GPH / Nexans mechanical connectors, cable lugs and clamps",SRC-0106,GPH / Nexans Power Accessories,2007-2010
