source_id,name,type,region,access,url,best_use,data_fit,priority
CANADIAN_TIRE_DEVELOPER,Canadian Tire Developer Program,retailer_api_developer_portal,Canada,Developer registration / access key required,https://developer.cantire.com/,"Canadian Tire product/catalog/retail API path for tools, hardware, automotive, home/property goods.",retailer_api_access_path,1
CANADIAN_TIRE_PUBLIC_SITE,Canadian Tire public catalogue,retailer_public_catalog,Canada,Public site; pricing/stock store-dependent,https://www.canadiantire.ca/,"Tools, hardware, automotive, home, seasonal, property maintenance and general merchandise offer reference.",current_public_offer_reference,2
GRAINGER_CATALOG_INDEX,Grainger Catalog Index,industrial_supply_catalog_index,US/Canada reference,Public catalog index; account may affect pricing,https://www.grainger.com/content/catalog-index,Large MRO/industrial/tools/fasteners/hardware/safety/plumbing/electrical catalog structure.,industrial_catalog_reference,1
GRAINGER_CANADA_PUBLIC,Grainger Canada public catalogue,industrial_supply_retail_catalog,Canada,Public site; account may affect pricing,https://www.grainger.ca/,"Canadian MRO, tools, fasteners, property supplies, safety, electrical and industrial offer reference.",current_public_offer_reference,2
FASTENAL_CATALOGS,Fastenal catalogues,fastener_industrial_catalog,US/Canada/international,Public catalog page; account affects pricing/procurement,https://www.fastenal.com/fast/catalogs,"Fasteners, OEM/MRO/construction/industrial/safety products and technical catalog structure.",industrial_catalog_reference,1
FASTENAL_PUBLIC_SITE,Fastenal public catalogue,fastener_industrial_public_catalog,US/Canada/international,Public website; account affects pricing/procurement,https://www.fastenal.com/,"Fasteners, safety, tools, vending/inventory-management and industrial supplies.",current_public_offer_reference,2
BOLT_SUPPLY_HOUSE,Bolt Supply House,canadian_fastener_industrial_catalog,Canada/Western Canada,Public catalogue/site; account/branch context may affect offer,https://www.boltsupply.com/,"Fasteners, fittings, valves, clamps, hose, material handling, bins, storage and Red Deer branch context.",current_public_offer_reference,2
BOLT_SUPPLY_RED_DEER,Bolt Supply House Red Deer location,local_supplier_branch,"Red Deer, Alberta",Public location page,https://www.boltsupply.com/locations/red-deer,Local branch evidence for Red Deer property/industrial fastener sourcing.,local_supplier_reference,2
GREGG_DISTRIBUTORS,Gregg Distributors,canadian_industrial_supply_catalog,Western Canada,Public website; catalogue/account context unclear,https://greggdistributors.ca/,"Western Canadian industrial, agricultural, automotive, safety, heavy-duty truck, construction and property supplies.",current_public_offer_reference,2
RED_DEER_BOLT,Red Deer Bolt Ltd,local_fastener_supplier,Red Deer / Western Canada,"Public product pages, phone/email sales",https://reddeerbolt.com/,"Local fastener solutions, abrasives, bolts, bolt bins, storage, anchors, drill bits, hand tools, nuts, washers, screws.",local_supplier_reference,2
RED_DEER_FASTENERS,Red Deer Fasteners,local_fastener_supplier_catalog,Red Deer / Alberta,Public category catalogue,https://www.rdfasteners.com/,"Collated fasteners, datacom/low voltage, direct fastening, anchors, hardware, nuts/bolts/washers, strut, rivets, structural attachments.",local_supplier_catalog_reference,2
RICHELIEU_CATALOG_LIBRARY_CA,Richelieu Canada Catalog Library,cabinet_furniture_hardware_catalog_library,Canada,Public catalog library,https://www.richelieu.com/ca/en/catalog,"Decorative hardware, cabinet hardware, shop supplies, kitchen/cabinet/furniture hardware catalogs.",manufacturer_distributor_catalog_reference,1
RICHELIEU_PRODUCT_INDEX,Richelieu Product Index,cabinet_hardware_product_index,Canada/US,Public index,https://www.richelieu.com/us/en/index,"Cabinet hardware, hinges, glass hardware, sliding systems, organizers and product index taxonomy.",product_index_reference,1
ACCURIDE_DRAWER_SLIDE_CATALOG,Accuride Drawer Slide Wood Catalog,drawer_slide_pdf_catalog,global,Public PDF catalog,https://www.accuride.com/media/pdf/accuride-drawer-slide-wood-catalog-2018.pdf,"Drawer slide models, capacity, extension, mounting, cabinet/furniture/industrial drawer-slide specs.",manufacturer_spec_catalog,1
ACCURIDE_DIRECTINDUSTRY_PDF,Accuride technical PDF catalog pages,drawer_slide_technical_catalog,global,Public PDF catalog aggregation,https://pdf.directindustry.com/pdf/accuride/2601/26400-756277.html,Accuride model-specific slide technical specifications and application notes.,manufacturer_spec_reference,2
BLUM_CATALOGUE_2024_2025,Blum Catalogue and Technical Manual 2024/2025,cabinet_hardware_catalogue_manual,Canada/global,Public online catalogue,https://publications.blum.com/2024/catalogue/en/,"Blum hinges, lift systems, box systems, runners, pocket systems, assembly devices, cabinet hardware technical data.",manufacturer_spec_catalog,1
BLUM_DOWNLOADS,Blum downloads and videos,cabinet_hardware_downloads,Canada/global,Public downloads/videos,https://www.blum.com/ca/en/downloads-videos/,"Catalogues, technical manuals, product configurator and cabinet planning/download resources.",manufacturer_spec_reference,1
BLUM_CANADA,Blum Canada public site,manufacturer_product_site,Canada,Public site,https://www.blum.com/ca/en/,"Lift, hinge, pull-out and pocket systems for furniture/cabinet makers and hardware distributors.",manufacturer_product_reference,2
HAFELE_CANADA,Häfele Canada,cabinet_architectural_hardware_catalog,Canada/global,Public online catalogue/account pricing may vary,https://www.hafele.ca/,"Architectural hardware, furniture fittings, kitchen storage, sliding/door hardware, lighting and cabinet hardware.",manufacturer_distributor_catalog_reference,2
HETTICH_CANADA,Hettich Canada,furniture_fittings_catalog,Canada/global,Public site/catalogs,https://web.hettich.com/en-ca/home,"Drawer systems, hinges, sliding/folding doors, cabinet hardware, furniture fittings.",manufacturer_spec_reference,2
LEE_VALLEY,Lee Valley Tools,tools_hardware_woodworking_catalog,Canada,Public retail catalog,https://www.leevalley.com/,"Woodworking tools, hardware, gardening, cabinet hardware and property/home tools.",current_public_offer_reference,2
MCMASTER_CARR,McMaster-Carr catalog,industrial_supply_catalog,US/reference,"Public catalog, ordering restrictions vary",https://www.mcmaster.com/,Extremely broad industrial hardware/spec reference; useful for product classes and attributes.,industrial_catalog_reference,3
ZORO,Zoro industrial supplies,industrial_supply_public_catalog,US,Public catalog,https://www.zoro.com/,"MRO, tools, fasteners, safety and property maintenance current offer examples.",current_public_offer_reference,3
MSC_DIRECT,MSC Industrial Supply,industrial_supply_public_catalog,US,Public catalog/account pricing may vary,https://www.mscdirect.com/,"Metalworking, MRO, tooling, abrasives, fasteners and industrial supplies.",industrial_catalog_reference,3
UNSPSC,UNSPSC commodity classification,global_commodity_classification,global,Public classification browser/download options vary,https://www.unspsc.org/,"Procurement classification for tools, fasteners, hardware, building maintenance and property supplies.",procurement_classification,1
GS1_GPC,GS1 Global Product Classification,official_global_product_classification,global,Public browser and standard files,https://www.gs1.org/standards/gpc/access-gpc-standards,"Retail product classification backbone for tools, hardware, home improvement and cabinet hardware.",classification,1
NAPCS_CANADA_2022,NAPCS Canada 2022,official_canadian_product_classification,Canada,Already packaged in project,https://www.statcan.gc.ca/en/subjects/standard/napcs/2022/index,Canadian product/service classification backbone.,classification,1
