source_id,name,type,region,access,url,best_use,data_fit,priority
GS1_GPC,GS1 Global Product Classification,official_global_product_classification,global,Public browser and standard files,https://www.gs1.org/standards/gpc/access-gpc-standards,"Common product-category language across food, clothing, housewares, appliances, office supplies, hardware and general merchandise.",classification,1
GS1_GPC_BROWSER,GS1 GPC Browser,official_classification_browser,global,Public browser,https://gpc-browser.gs1.org/,"Browse GPC segments, families, classes, bricks and attributes.",classification_browser,1
GS1_CA_ECCNET_CONTENT_API,GS1 Canada ECCnet Content API,canadian_product_registry_api,Canada,GS1 Canada membership/data-recipient access likely required,https://gs1ca.org/content-access/,"Canadian standardized listing data, product data and product images from ECCnet Registry.",product_identity_content_api,1
GS1_CA_MARKETING_CONTENT,GS1 Canada ECCnet Marketing Content,canadian_product_image_content,Canada,GS1 Canada access required,https://gs1ca.org/marketing-content/,High-quality bilingual standardized product images for retail and online use.,product_image_evidence,2
GS1_CA_CONTENT_CAPTURE,GS1 Canada Content Capture,product_data_image_capture_service,Canada,Service/access required,https://gs1ca.org/content-capture/,Standardized Canadian product image/data capture process and data quality model.,content_quality_reference,3
OPEN_FOOD_FACTS,Open Food Facts,open_barcode_food_database,global,Open data/API/bulk downloads,https://world.openfoodfacts.org/data,"Large open barcode database for food, snacks, beverages, ingredients, nutrition, allergens, packaging and images.",open_product_identity_records,1
OPEN_FOOD_FACTS_API,Open Food Facts API,open_product_api,global,Open API,https://openfoodfacts.github.io/documentation/docs/Product-Opener/api/,Barcode/product lookup and contribution API for food product facts.,open_product_api,1
OPEN_PRODUCTS_FACTS,Open Products Facts,open_non_food_product_database,global,Open data/API; coverage uneven,https://world.openproductsfacts.org/,Experimental open barcode/product source for non-food general merchandise.,open_product_identity_records,2
OPEN_BEAUTY_FACTS,Open Beauty Facts,open_cosmetics_personal_care_database,global,Open data/API,https://world.openbeautyfacts.org/,Cosmetics and personal-care product identity and ingredient data.,open_product_identity_records,2
OPEN_PET_FOOD_FACTS,Open Pet Food Facts,open_pet_product_database,global,Open data/API,https://world.openpetfoodfacts.org/,Pet food and pet product facts where available.,open_product_identity_records,3
UPCITEMDB,UPCitemdb,barcode_product_database_api,global,Public search/API tiers,https://www.upcitemdb.com/,"UPC/EAN product lookup for general merchandise, office supplies, housewares and consumer goods.",barcode_lookup,3
GO_UPC,Go-UPC,barcode_product_api,global,Free/paid API tiers,https://go-upc.com/,Barcode product lookup by UPC/EAN/ISBN for consumer goods.,barcode_lookup,3
BARCODE_LOOKUP,Barcode Lookup,barcode_product_api,global,Paid API/free lookup tiers,https://www.barcodelookup.com/api,Barcode/product lookup API for many consumer product categories.,barcode_lookup,4
BIG_PRODUCT_DATA,Big Product Data API,large_barcode_product_database_api,global,RapidAPI / paid API,https://rapidapi.com/bigproductdata/api/big-product-data,Large UPC/GTIN/EAN/ISBN lookup source for product identity enrichment.,barcode_lookup,4
FOODREPO,FoodRepo,open_barcoded_food_repository,Switzerland / reference,API / open-source license described in paper,https://www.foodrepo.org/,Open food repository model and API reference for barcoded product datasets.,open_product_identity_reference,4
UNSPSC,UNSPSC commodity classification,global_commodity_classification,global,Public classification browser/download options vary,https://www.unspsc.org/,"Procurement classification for office supplies, general goods, services and business products.",procurement_classification,2
NAPCS_CANADA_2022,NAPCS Canada 2022,official_canadian_product_classification,Canada,Already packaged in project,https://www.statcan.gc.ca/en/subjects/standard/napcs/2022/index,Canadian product and service classification backbone.,classification,1
ENERGY_STAR_PRODUCT_FINDER,ENERGY STAR Product Finder datasets,certified_product_datasets,US/Canada reference,Public datasets/API/CSV exports,https://www.energystar.gov/productfinder/advanced,"Certified appliances, electronics and household equipment performance evidence.",certification_evidence,2
