source_id,name,organization,country,domains,content_type,update_frequency,access_method,license,size_class,status,included,official_page,direct_download,local_path,recommended_use,notes
CANADA_RECALLS,Canada Recalls and Safety Alerts,Government of Canada / Health Canada,Canada,consumer products | food | health products | medical devices | vehicles | safety,Recall and safety-alert records,Daily,Direct CSV and JSON feed,Open Government Licence – Canada,Medium,Included current CSV,True,https://recalls-rappels.canada.ca/en,https://recalls-rappels.canada.ca/sites/default/files/opendata-donneesouvertes/SCRSAMDonneesOuvertes.csv,sample_data/canada_recalls_current.csv,"Risk, safety, defect, corrective-action and evidence layer for products and vehicles.",The captured CSV currently presents French field names/content. Preserve source language and map fields during normalization.
USDA_FDC_FOUNDATION,USDA FoodData Central — Foundation Foods,USDA Agricultural Research Service,United States,food | nutrition | ingredients,Food composition and nutrient reference records,Periodic releases,CSV/JSON ZIP download and API,U.S. public domain / CC0,Small-to-medium,Direct script,False,https://fdc.nal.usda.gov/download-datasets,https://fdc.nal.usda.gov/fdc-datasets/FoodData_Central_foundation_food_csv_2026-04-30.zip,raw/usda_food/Foundation_Foods_2026_04_CSV.zip,"Nutrient, ingredient, quality and evidence fields for meaningful food classes.",
USDA_CNDB,USDA Child Nutrition Database (CNDB),USDA Food and Nutrition Service,United States,food | branded products | school food | nutrition | GTIN,Six-table product/nutrient database including manufactured K–12 products,Monthly for manufacturer data; other sources typically twice yearly,CSV/JSON/SQL/XML ZIP download,U.S. federal data; verify included documentation,Small,Direct script,False,https://fdc.nal.usda.gov/cndb,https://fdc.nal.usda.gov/fdc-datasets/CN.2026.05-CSV.zip,raw/usda_food/CNDB_CN2026_05_CSV.zip,"Branded food product records, brand owner, GTIN/GPC links, weights and nutrient values.",
CANADA_CNF_2026,Canadian Nutrient File 2026,Health Canada,Canada,food | nutrition | Canadian reference,Relational food composition database,Release-based,ZIP/CSV via Open Government,Open Government Licence – Canada,Medium,Manual/current resource page,False,https://www.canada.ca/en/health-canada/services/food-nutrition/healthy-eating/nutrient-data/canadian-nutrient-file-about-us.html,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,raw/canada_food/CNF_2026/,Canadian food composition evidence and crosswalk to food classes; not generally brand-specific.,
OPEN_FOOD_FACTS,Open Food Facts — Global Product Dump,Open Food Facts community,Global,branded food | barcodes | ingredients | nutrition | labels,Crowdsourced branded-food product records,Daily exports,Large JSONL/CSV data dump and API,Open Database Licence (ODbL),Very large,Optional large external archive,False,https://world.openfoodfacts.org/data,https://static.openfoodfacts.org/data/openfoodfacts-products.jsonl.gz,raw/large_optional/openfoodfacts-products.jsonl.gz,"Broad branded-food catalogue, barcode, brand, ingredients and label data. Keep raw archive outside normal Git history.",Use attribution/share-alike rules and avoid API crawling for bulk acquisition.
ENERGY_STAR_CATALOG,ENERGY STAR Certified Product Data Catalog,U.S. Environmental Protection Agency,United States / Canada-relevant,appliances | electronics | HVAC | lighting | water heating | building products | energy,Certified product models and performance specifications,Daily,50+ CSV/Excel/XML datasets and SODA APIs,U.S. government public data; review dataset metadata,Many small/medium datasets,Selected datasets in script,False,https://www.energystar.gov/productfinder/advanced,https://data.energystar.gov/,raw/energy_star/,"Model number, energy use, efficiency, certification and comparative operating-cost evidence.",
ENERGY_STAR_REFRIGERATORS,ENERGY STAR Certified Residential Refrigerators,U.S. EPA,United States / Canada-relevant,appliances | refrigerators | energy,Certified model records,Daily,Direct CSV/SODA API,U.S. government public data,Small,Direct script,False,https://data.energystar.gov/,https://data.energystar.gov/api/views/p5st-her9/rows.csv?accessType=DOWNLOAD,raw/energy_star/refrigerators.csv,"Refrigerator model, capacity, annual energy and certification fields.",
ENERGY_STAR_FURNACES,ENERGY STAR Certified Furnaces,U.S. EPA,United States / Canada-relevant,HVAC | furnaces | energy,Certified model records,Daily,Direct CSV/SODA API,U.S. government public data,Small,Direct script,False,https://data.energystar.gov/,https://data.energystar.gov/api/views/i97v-e8au/rows.csv?accessType=DOWNLOAD,raw/energy_star/furnaces.csv,Furnace model and efficiency comparison.,
ENERGY_STAR_SMART_THERMOSTATS,ENERGY STAR Certified Smart Thermostats,U.S. EPA,United States / Canada-relevant,HVAC | smart home | energy,Certified model records,Daily,Direct CSV/SODA API,U.S. government public data,Small,Direct script,False,https://data.energystar.gov/,https://data.energystar.gov/api/views/7p2p-wkbf/rows.csv?accessType=DOWNLOAD,raw/energy_star/smart_thermostats.csv,Smart thermostat model/performance comparison.,
ENERGY_STAR_TELEVISIONS,ENERGY STAR Certified Televisions,U.S. EPA,United States / Canada-relevant,electronics | televisions | energy,Certified model records,Daily,Direct CSV/SODA API,U.S. government public data,Small,Direct script,False,https://data.energystar.gov/,https://data.energystar.gov/api/views/pd96-rr3d/rows.csv?accessType=DOWNLOAD,raw/energy_star/televisions.csv,"Television model, size and power-use comparison.",
ENERGY_STAR_IMAGING,ENERGY STAR Certified Imaging Equipment,U.S. EPA,United States / Canada-relevant,office equipment | printers | scanners | energy,Certified model records,Daily,Direct CSV/SODA API,U.S. government public data,Small,Direct script,False,https://data.energystar.gov/,https://data.energystar.gov/api/views/t2v6-g4nf/rows.csv?accessType=DOWNLOAD,raw/energy_star/imaging_equipment.csv,"Printer/scanner model, function and energy-performance comparison.",
ENERGY_STAR_UPS,ENERGY STAR Certified Uninterruptible Power Supplies,U.S. EPA,United States / Canada-relevant,electrical | UPS | data centres | energy,Certified model records,Daily,Direct CSV/SODA API,U.S. government public data,Small,Direct script,False,https://data.energystar.gov/,https://data.energystar.gov/api/views/ifxy-2uty/rows.csv?accessType=DOWNLOAD,raw/energy_star/ups.csv,"UPS model, capacity and efficiency comparison.",
ENERGY_STAR_SERVERS,ENERGY STAR Certified Enterprise Servers,U.S. EPA,United States / Canada-relevant,computers | servers | data centres | energy,Certified model records,Daily,Direct CSV/SODA API,U.S. government public data,Small,Direct script,False,https://data.energystar.gov/,https://data.energystar.gov/api/views/qifb-fcj2/rows.csv?accessType=DOWNLOAD,raw/energy_star/enterprise_servers.csv,Server model/configuration and energy-efficiency comparison.,
ENERGY_STAR_UPC,ENERGY STAR Products UPC Codes,U.S. EPA,United States / Canada-relevant,barcodes | retail | certified products,UPC/model cross-reference,Daily,Direct CSV/SODA API,U.S. government public data,Small,Direct script,False,https://data.energystar.gov/,https://data.energystar.gov/api/views/8edu-y555/rows.csv?accessType=DOWNLOAD,raw/energy_star/product_upc_codes.csv,Connect retail barcodes to ENERGY STAR-certified models.,
NHTSA_VPIC,NHTSA Product Information Catalog and Vehicle Listing (vPIC),U.S. National Highway Traffic Safety Administration,United States / global manufacturers,vehicles | manufacturers | makes | models | VIN | equipment plants,Manufacturer-reported vehicle and equipment catalog data,Continuously maintained,Free API in JSON/CSV/XML plus standalone databases,U.S. government public data; review terms,API / medium,Included current all-makes CSV,True,https://vpic.nhtsa.dot.gov/,https://vpic.nhtsa.dot.gov/api/vehicles/getallmakes?format=csv,sample_data/nhtsa_all_makes_current.csv,Make/model/manufacturer/VIN classification and vehicle field enrichment.,
HEALTH_CANADA_DPD,Health Canada Drug Product Database (DPD),Health Canada,Canada,drugs | veterinary drugs | disinfectants | radiopharmaceuticals,Authorized drug product records and monograph links,Nightly database; extract updates vary,Online query and compressed data extract,Open Government Licence – Canada,Medium,Manual extract,False,https://www.canada.ca/en/health-canada/services/drugs-health-products/drug-products/drug-product-database.html,https://www.canada.ca/en/health-canada/services/drugs-health-products/drug-products/drug-product-database/what-data-extract-drug-product-database.html,raw/health_canada/dpd/,"Canadian authorized product identity, DIN, status, ingredient/form/company and regulatory evidence.",
HEALTH_CANADA_LNHPD,Licensed Natural Health Products Database (LNHPD),Health Canada,Canada,natural health products | supplements | ingredients | dosage | claims | risk,"Licensed product, ingredient, dosage, purpose, risk and route records",Nightly / API,Paginated JSON/XML API and data extracts,Open Government Licence – Canada,Large API,API/manual,False,https://health-products.canada.ca/lnhpd-bdpsnh/index-eng.jsp,https://health-products.canada.ca/api/natural-licences/productlicence/?lang=en&type=json,raw/health_canada/lnhpd/,"NPN/DIN-HM, brand, licence holder, dosage form, ingredients, purpose and risk evidence.",
HEALTH_CANADA_NHPID,Natural Health Products Ingredients Database (NHPID),Health Canada,Canada,ingredients | controlled vocabulary | monographs | quality methods,Ingredient and terminology reference,Maintained online,Search interface / extracts where available,Government of Canada terms,Reference,Manual/API research,False,https://webprod.hc-sc.gc.ca/nhpid-bdipsn/,,raw/health_canada/nhpid/,"Ingredient ontology, dosage-form vocabulary and acceptable-use evidence.",
CPSC_RECALLS,U.S. Consumer Product Safety Commission Recalls API,U.S. CPSC,United States,consumer products | recalls | hazards | injuries,Recall records,Ongoing,JSON/XML REST service and CSV downloads,U.S. government public data; review terms,Medium,Direct API/manual,False,https://www.cpsc.gov/Recalls,https://www.saferproducts.gov/RestWebServices/Recall?format=json,raw/us_cpsc/recalls.json,U.S. consumer product hazard and recall evidence.,
OPENFDA_NDC,openFDA / National Drug Code Directory,U.S. Food and Drug Administration,United States,drugs | NDC | labels | manufacturers,Drug product and package records,Maintained by FDA,API and downloadable files,U.S. government data / CC0 for openFDA datasets,Large,API/manual,False,https://open.fda.gov/apis/drug/ndc/,https://open.fda.gov/data/downloads/,raw/openfda/,"U.S. drug identity, package, labeler and regulatory reference.",
EPA_SAFER_CHOICE,EPA Safer Choice Product List,U.S. Environmental Protection Agency,United States / Canada-relevant,cleaning products | chemicals | safety | environment,Certified safer chemical product records,Maintained list,Searchable list and downloadable spreadsheet,U.S. government public information; review spreadsheet terms,Small,Manual spreadsheet,False,https://www.epa.gov/saferchoice/products,,raw/epa_safer_choice/,Cleaning-product safety/environmental evidence and certified-product filtering.,
TRANSPORT_CANADA_RECALLS,Transport Canada Road Safety Recalls Database,Transport Canada,Canada,vehicles | tires | child restraints | recalls,Canadian road-safety recall records,Maintained online,Search and downloadable records where provided,Government of Canada terms,Reference,Manual/API TBD,False,https://recalls-rappels.canada.ca/en/search/site?f%5B0%5D=category%3A137,,raw/transport_canada/,Canadian vehicle defect/recall evidence linked to vehicle offers.,
