category,domain,notes
Vehicle Fitment Identity,fitment,"year, make, model, engine, trim, body, drivetrain, region"
Part Identity,part_identity,"brand, manufacturer part number, interchange, UPC/GTIN, NAPA/RockAuto/vendor SKU"
Brakes,auto_parts,"pads, rotors, calipers, drums, shoes, hydraulic parts"
Filters,auto_parts,"oil, air, cabin, fuel, transmission filters"
Ignition / Electrical,auto_parts,"spark plugs, coils, alternators, starters, sensors"
Steering / Suspension,auto_parts,"struts, shocks, control arms, tie rods, ball joints"
Engine Parts,auto_parts,"belts, timing, gaskets, pumps, mounts, seals"
Cooling / HVAC,auto_parts,"radiators, thermostats, hoses, compressors, condensers"
Exhaust / Emissions,auto_parts,"mufflers, catalytic converters, oxygen sensors, EGR"
Drivetrain / Axles,auto_parts,"CV axles, bearings, hubs, clutches, driveshafts"
Fluids / Chemicals,auto_supplies,"oil, coolant, ATF, brake fluid, cleaners, grease"
Batteries / Charging,auto_parts,"batteries, alternators, starters, chargers"
Tires / Wheels,auto_parts,"tires, wheels, TPMS, lug nuts, wheel weights"
Body / Lighting,auto_parts,"headlamps, bulbs, mirrors, body panels, wipers"
Tools / Shop Supplies,auto_supplies,"scan tools, jacks, stands, pullers, service tools"
Warranty / Core / Compliance,evidence,"core charge, warranty, emissions legality, recall evidence"
