access,best_use,data_fit,name,priority,region,source_id,type,url
Public searchable list,"Canadian energy-efficiency records for windows, doors, water heaters, heat pumps and other regulated/ENERGY STAR products.",evidence_performance_registry,Natural Resources Canada Searchable Product List,1,Canada,NRCAN_SPL,official_energy_product_registry,https://spl-lpi.nrcan-rncan.gc.ca/
Public product lists,Canadian certified product category list including water heaters and windows/doors/skylights.,evidence_performance_registry,NRCan ENERGY STAR certified products,1,Canada,NRCAN_ENERGY_STAR_CERTIFIED_PRODUCTS,official_canadian_energy_star_lists,https://natural-resources.canada.ca/energy-efficiency/energy-star/products/list-certified-products
Public searchable directory,"Certified windows, doors and skylights with independently verified performance ratings.",evidence_performance_registry,NFRC Certified Products Directory,1,US/Canada reference,NFRC_CPD,fenestration_performance_registry,https://nfrc.org/certified-product-directory/
Public searchable directory,"Certified HVACR equipment performance records for heat pumps, air conditioners, furnaces, water heating and ventilation categories.",evidence_performance_registry,AHRI Directory of Certified Product Performance,1,US/Canada reference,AHRI_DIRECTORY,hvacr_performance_registry,https://ahridirectory.org/
Public search; full downloads/API require membership or paid access,Commercial/industrial LED lighting and controls verification; strong lighting evidence layer.,evidence_performance_registry,DesignLights Consortium Qualified Products Lists,1,US/Canada reference,DLC_QPL,lighting_certified_product_registry,https://designlights.org/qpl/
Public searchable registry,"Canadian building-product code/evaluation evidence for materials, systems and assemblies.",code_compliance_evidence,Canadian Construction Materials Centre Registry,1,Canada,CCMC_REGISTRY,canadian_code_compliance_registry,https://nrc.canada.ca/en/certifications-evaluations-standards/canadian-construction-materials-centre/ccmc-publications/registry.html
Public searchable reports,Evaluation reports for code officials and approved building products.,code_compliance_evidence,ICC-ES Reports Directory,2,US/international,ICC_ES_REPORTS,code_compliance_reports,https://icc-es.org/reports-directory/
Free account/login usually required,"UL-certified evidence for electrical, fire-rated and safety-related components.",certification_evidence,UL Product iQ,2,US/Canada/international,UL_PRODUCT_IQ,safety_certification_database,https://productiq.ulprospector.com/
Public search/account depending use,CSA-certified electrical/mechanical/building product evidence.,certification_evidence,CSA Group Product Listing,2,Canada/international,CSA_GROUP_CERTIFICATION,canadian_safety_certification_database,https://www.csagroup.org/testing-certification/product-listing/
Public documents,"Windows, exterior/interior doors, patio doors, size guides, architectural guides and installation documents.",manufacturer_catalog_spec_reference,JELD-WEN Canada brochures/documents,1,Canada,JELD_WEN_CANADA_DOCUMENTS,windows_doors_manufacturer_catalogs,https://www.jeld-wen.ca/product-support/documents
Public catalog downloads,"Exterior/interior doors, wood doors, solid core and residential door product catalogs.",manufacturer_catalog_spec_reference,Masonite product catalogs,1,North America,MASONITE_CATALOGS,door_manufacturer_catalogs,https://www.masonite.com/catalogs/
Public web/PDF literature,"Entry and patio door systems, glass, finishing, fire-rated/impact-rated options and product literature.",manufacturer_catalog_spec_reference,Therma-Tru catalogs and brochures,1,North America,THERMA_TRU_LITERATURE,entry_door_manufacturer_catalogs,https://www.thermatru.com/inspiration/literature/
Public product pages,"Canadian residential garage doors, styles, R-values, materials, models and options.",manufacturer_catalog_spec_reference,Garaga residential garage door selection guide,1,Canada,GARAGA_RESIDENTIAL_SELECTION,garage_door_manufacturer_catalog,https://www.garaga.com/ca/garage-doors/residential/selection-guide
Public professional resources,"Garage door Revit, AutoCAD, specs and brochures.",bim_spec_reference,Garaga architects/resources,2,Canada,GARAGA_ARCHITECTS,garage_door_spec_bim_catalog,https://www.garaga.com/ca/professionals/architects
Public catalogs and technical documents,"Hollow metal doors, steel frames, fire labelling and technical catalogs.",manufacturer_catalog_spec_reference,Fleming Door / ASSA ABLOY technical information,1,Canada,FLEMING_DOOR_TECHNICAL,hollow_metal_door_catalogs,https://www.flemingdoor.com/en/customer-resources/literature-and-technical-information/technical-information
Public product/application pages,"Fire-rated steel doors/frames, labels, 20 minute to 3 hour ratings.",manufacturer_catalog_spec_reference,Steelcraft fire-rated steel doors and frames,2,North America,STEELCRAFT_FIRE_RATED,fire_rated_steel_door_catalog,https://www.steelcraft.com/en/products/applications/fire-rated-steel-doors-and-frames.html
Public site/specs through Sweets etc.,Commercial steel doors and hollow metal frames; architectural guide references.,manufacturer_catalog_spec_reference,Ceco Door commercial steel doors and frames,2,North America,CECO_DOOR,steel_door_frame_catalog,https://www.cecodoor.com/en
Public resources,"Certified steel door/frame guides, fire labeling guide, recommended selection/use guides.",standards_reference,CSDMA guides and technical specs,2,Canada/US,CSDMA_GUIDES,steel_door_frame_standards_guides,https://csdma.org/publications/
Public product pages/literature,"Heat pumps, air conditioners, furnaces, air handlers, product data and literature.",manufacturer_catalog_spec_reference,Carrier Residential Canada,2,Canada,CARRIER_RESIDENTIAL_CA,hvac_manufacturer_product_catalog,https://www.carrier.com/residential/en/ca/
Public product pages/resources,"Water heaters, furnaces, air conditioners, heat pumps and commercial/residential systems.",manufacturer_catalog_spec_reference,Rheem Canada,2,Canada,RHEEM_CANADA,hvac_water_heater_product_catalog,https://www.rheem.ca/
Public PDF/catalog literature,"Residential water heater models, product lines, specifications and ENERGY STAR references.",manufacturer_catalog_spec_reference,A. O. Smith residential product catalog,1,North America,AOSMITH_RESIDENTIAL_CATALOG,water_heater_pdf_catalog,https://assets.hotwater.com/damroot/Original/10001/AOSRB80000.pdf
Public professional catalog pages,"Water heater product details, specs and professional catalog resources.",manufacturer_catalog_spec_reference,Bradford White digital pocket catalogs,2,North America,BRADFORD_WHITE_DIGITAL_CATALOGS,water_heater_digital_catalogs,https://forthepro.bradfordwhite.com/digital-pocket-catalogs/
Public PDF and documents,"Stack duct, trunk duct, cleats, duct fittings, round pipe, elbows and duct sections.",manufacturer_catalog_spec_reference,"Imperial galvanized duct, pipe and fittings catalogue",1,Canada,IMPERIAL_GALVANIZED_DUCT_CATALOG,ductwork_pdf_catalog,https://imperialgroup.s3.amazonaws.com/site/PP1142-Galvanized-Catalogue-En-2024-12-10-01.41-PM.pdf
Public documents,"Catalogs/data sheets for registers/grilles, venting/flexible duct and galvanized duct.",manufacturer_catalog_spec_reference,Imperial Manufacturing documents,1,Canada,IMPERIAL_DOCUMENTS,duct_venting_railing_catalogs,https://www.imperialgroup.ca/documents
Public product pages/downloads,"Aluminum railing systems, stair rail components, posts, pickets, glass and LED rail products.",manufacturer_catalog_spec_reference,Regal ideas railing products,2,Canada/US,REGAL_IDEAS_PRODUCTS,railing_stair_component_catalog,https://regalideas.com/products/
Public downloads,"Catalogs, product flyers, railing layout planners, stair systems and installation resources.",manufacturer_catalog_spec_reference,Regal ideas downloads,2,Canada/US,REGAL_IDEAS_DOWNLOADS,railing_stair_downloads,https://regalideas.com/resources/downloads/
Public PDF,"Railing/stair panel kits with item numbers, UPCs, dimensions and kit contents.",manufacturer_catalog_spec_reference,Fortress Building Products Inspire railing PDF,2,North America,FORTRESS_RAILING_INSPIRE_PDF,railing_product_pdf,https://fortressbp.com/Documents/fbp-railingsalessheet-inspire-v01s-0.pdf
Public product pages/documentation,Square D QO residential loadcentres and related product docs/selectors.,manufacturer_catalog_spec_reference,Schneider Electric Canada QO Load Centers,2,Canada,SCHNEIDER_SQUARE_D_CA_QO,electrical_load_center_catalog,https://www.se.com/ca/en/product-range/7249-qo-load-centers/
Public PDF mirror,"Residential load centers, breakers, receptacles and branch circuit product data.",manufacturer_catalog_spec_reference,Square D residential catalog PDF,2,North America,SQUARE_D_RESIDENTIAL_CATALOG_PDF,electrical_pdf_catalog,https://cedhouston.com/wp-content/uploads/Square-D-Residential-Catalog.pdf
Public PDF,"Wiring devices, switches, receptacles and product families.",manufacturer_catalog_spec_reference,Eaton wiring devices PDF,2,North America,EATON_WIRING_DEVICES_PDF,electrical_wiring_device_catalog,https://www.eaton.com/content/dam/eaton/products/wiring-devices-and-connectivity/wiring-devices/switches/standard-grade-switches/rbg-b-sec.pdf
