category,domain,notes
Desktop Computers,computer_hardware,"workstations, mini PCs, towers, all-in-ones"
Laptop / Notebook Computers,computer_hardware,"notebooks, mobile workstations, Chromebooks"
Servers,computer_hardware,"rack, tower, blade, edge servers"
Storage Systems,computer_hardware,"NAS, SAN, DAS, backup appliances"
Monitors / Displays,computer_hardware,"desktop displays, professional displays"
Printers / Imaging,computer_hardware,"laser, inkjet, scanners, multifunction"
Networking Equipment,communications_networking,"switches, routers, Wi-Fi, firewalls, access points"
Cell Phones / Smartphones,communications_devices,"phones, smart devices, accessories, carrier-locked/unlocked"
Two-way Radios / CB / GMRS / FRS,communications_radio,"CB radios, FRS/GMRS, business radios, handhelds, mobiles"
Amateur / Shortwave Radio,communications_radio,"shortwave receivers, HF transceivers, antennas, tuners"
Microwave / RF Equipment,communications_rf,"microwave links, RF modules, antennas, coax, waveguide, test equipment"
Satellite / GPS / Marine Communications,communications_navigation,"satellite phones, GPS, AIS, marine radios"
Software / Licenses,software,"operating systems, office apps, security, CAD, subscriptions"
Cloud Services,software_cloud,"marketplace products, SaaS, IaaS, reservations"
Security / Endpoint,software_hardware,"antivirus, EDR, firewalls, MFA tokens"
Components,components,"processors, RAM, SSDs, GPUs, motherboards"
Peripherals,accessories,"keyboards, mice, webcams, headsets, docks"
Cables / Adapters,accessories,"USB, HDMI, DisplayPort, power, network, RF coax"
Power / UPS,power,"UPS, power distribution, batteries, chargers"
Lifecycle / Compliance Evidence,evidence,"CPE, CVE, EPEAT, ENERGY STAR, FCC, ISED REL, lifecycle status"
