phase,source_uid,title,priority,domain,conversion_mode,target_folder,first_output,status,notes
Run 01,SRC-0100,Essentra Components Catalog Volume 14,Very High,Industrial Components / Hardware / Fasteners / Motion / Electronics,PDF table extraction by section,data-sources/catalog_conversions/industrial_components/essentra_2014/,industrial_components,queued,"Over 1,000 pages; structured contents and repeated item/spec tables."
Run 01,SRC-0101,Faucher complete truck-body hardware set,Very High,Truck Body / Camper / Emergency Vehicle Components,Small PDFs; direct table extraction,data-sources/catalog_conversions/truck_body_hardware/faucher/,truck_body_hardware_items,queued,"Handles, locks/latches, gas springs, hinges, adhesives, rubber, fasteners, cargo control, heaters, lights."
Run 01,SRC-0102,"Parker Hose, Fittings and Equipment Catalog 4400",Very High,Hydraulic Hose / Fittings / Safety / Crimping,Section extraction and safety-rule dictionary,data-sources/catalog_conversions/fluid_power/parker_hose_4400/,hose_products,queued,Keep safety warnings and do-not-mix rules attached to records.
Run 01,SRC-0103,Gregg Distributors Product Catalogue,Very High,Industrial MRO / Tools / Fasteners / Safety / Automotive / Hose,Large catalog; sectioned extraction queue,data-sources/catalog_conversions/canadian_industrial_supply/gregg_2016/,gregg_catalog_items,queued,"2,600+ pages; convert by section rather than whole catalog at once."
Run 01,SRC-0104,80/20 Catalog 20,Very High,T-Slot Aluminum / Modular Framing / Machine Guards / Workstations,"Profiles, fasteners, panels, add-ons, linear motion tables",data-sources/catalog_conversions/modular_framing/8020_catalog_20/,t_slot_profiles,queued,Duplicate uploaded as Catalog_20_20 and Catalog_80_20; keep one master source.
Run 01,SRC-0105,Grote Lighting Systems and Electrical Catalogs,Very High,Vehicle Lighting / Wiring / Connectors / Fuse Protection,Catalog-set extraction with technical notes,data-sources/catalog_conversions/vehicle_electrical/grote_2016/,vehicle_lighting,queued,"Includes lighting, electrical connection, fuse/circuit protection."
Run 01,SRC-0401,Grainger / Fastenal / Gregg / Red Deer Bolt / Richelieu / Accuride / Blum,Very High,Tools / Fasteners / Hardware / Cabinet Hardware / Slides,Vendor catalog/API/feed/manual PDF conversion,data-sources/acquisition_targets/industrial_hardware_suppliers/,supplier_access_inventory,queued,High value for property and hardware bricks.
Run 02,SRC-0001,Open Food Facts bulk database,High,Food / Survival / Consumer Products,Local processor; product identity and survival-value extracts,data-sources/open_food_facts/,food_product_identity,queued,Already locally processed in first Canada run; raw JSONL stays local.
Run 02,SRC-0002,NAPCS Canada 2022 product classification,High,Product / Goods / Services Classification,Official taxonomy import; crosswalk layer,Comparator-definitions/taxonomy/canada/NAPCS_2022/,napcs_nodes,queued,"Use as official classification crosswalk, not as user-facing need tree replacement."
Run 02,SRC-0003,ISED Financial Performance Data 2024,High,Small Business Calibration,Normalized calibration profiles,data-sources/ised_fpd_2024/,business_type_calibration_profiles,queued,Already packaged as GitHub-safe v0.2; raw ZIP should stay as Release asset.
