source_id,name,type,region,access,url,best_use,data_fit,priority
IKEA_PUBLIC_SITE,IKEA public product catalogue,retailer_public_catalog,global/Canada,Public website; no official bulk public API found,https://www.ikea.com/ca/en/,"Current furniture, storage, kitchen, bedroom, office and home decor product reference.",current_public_offer_reference,1
IKEA_API_CLIENT_GITHUB,Community IKEA API client,unofficial_api_client,global,Open-source client; depends on IKEA endpoints/terms,https://github.com/vrslev/ikea-api-client,Investigate IKEA search/product endpoints for controlled lookup experiments.,candidate_api_connector,2
IKEA_PRODUCT_DETAILS_API_ZYLA,IKEA Product Details API via Zyla,third_party_product_api,global,Paid/free API marketplace tiers,https://zylalabs.com/api-marketplace/commerce%2B%26%2Becommerce/ikea%2Bproduct%2Bdetails%2Bapi/2226,"Structured IKEA product details including name, price, images, categories and variants where API terms allow.",paid_current_offer_source,3
WAYFAIR_DEVELOPER,Wayfair Developer,developer_portal,US/global,Developer/partner access,https://developer.wayfair.io/posts/introduction,Wayfair catalog/product/3D API research path.,access_path,2
WAYFAIR_3D_API,Wayfair Realtime 3D Model API,3d_model_product_api,US/global,Developer access / historical tech blog reference,https://www.aboutwayfair.com/tag/api,3D furniture model/product information where access is available.,3d_model_product_reference,3
BIFMA_LEVEL,BIFMA LEVEL product search,furniture_sustainability_certification_registry,North America/global,Public product search,https://level.bifma.org/,Open/transparent sustainability certification evidence for furniture products.,certification_evidence,1
BIFMA_COMPLIANT,BIFMA Compliant registry,furniture_safety_durability_compliance_registry,North America/global,Public registry/product information,https://www.bifma.org/page/bifma-compliant,"Furniture safety/durability standards evidence, especially office and institutional furniture.",compliance_evidence,1
BIFMA_HOME,BIFMA standards and association,furniture_standards_reference,North America/global,Public reference; standards may be paid,https://www.bifma.org/,"Office/institutional furniture standards context, safety, durability and sustainability evidence.",standards_reference,2
SKULYTICS_FURNITURE,Skulytics furniture/mattress/appliance product data API,commercial_product_data_api,US/Canada likely,Commercial API,https://skulytics.io/,"Real-time authorization-aware furniture, mattress and appliance product data across many brands.",commercial_live_product_feed,2
KAGGLE_FURNITURE_ECOM_2024,E-commerce Furniture Dataset 2024,furniture_dataset,global/reference,Kaggle download terms apply,https://www.kaggle.com/datasets/kanchana1990/e-commerce-furniture-dataset-2024,"2,000 furniture product rows with e-commerce fields for prototype/testing, not authoritative current offers.",training_sample_dataset,3
ARCAT_FURNITURE_CATALOGS,ARCAT building/furnishings product catalogs,manufacturer_catalog_directory,US/Canada/international,Public/free catalogs and downloads,https://www.arcat.com/content-type/catalog,"Commercial furnishings, fixtures, cabinets, architectural interiors, furniture systems and specification catalogues.",catalog_spec_reference,2
SWEETS_FURNISHINGS,Sweets construction/furnishings product directory,building_product_directory,US/Canada/international,Public directory,https://sweets.construction.com/,"Commercial furniture, casework, interior specialties, fixtures and manufacturer specification pages.",catalog_spec_reference,2
BIMOBJECT_FURNITURE,BIMobject furniture/manufacturer objects,BIM_product_directory,global,Free account/download; API/embed docs,https://www.bimobject.com/en-ca,"Furniture and interior product BIM objects, 3D models and manufacturer metadata.",bim_spec_product_reference,3
BIM_AND_CO_FURNITURE,BIM&CO furniture/BIM object platform,BIM_object_platform,global,Public/free account likely,https://www.bimandco.com/bim/,Generic and manufacturer BIM objects for interiors/furniture.,bim_spec_product_reference,3
GS1_GPC,GS1 Global Product Classification,official_global_product_classification,global,Public browser and standard files,https://www.gs1.org/standards/gpc/access-gpc-standards,"Classification backbone for furniture, home furnishings, textiles and decor.",classification,1
NAPCS_CANADA_2022,NAPCS Canada 2022,official_canadian_product_classification,Canada,Already packaged in project,https://www.statcan.gc.ca/en/subjects/standard/napcs/2022/index,"Canadian product/service classification backbone for furniture, furnishings and household goods.",classification,1
OPEN_PRODUCTS_FACTS,Open Products Facts,open_non_food_product_database,global,Open data/API; coverage uneven,https://world.openproductsfacts.org/,Experimental barcode/product identity source for furnishings and household goods where records exist.,open_product_identity_records,4
GS1_CA_ECCNET,GS1 Canada ECCnet Registry / Content API,canadian_product_registry_api,Canada,GS1 Canada membership/API access required,https://gs1ca.org/content-access/,"Canadian product identity, images and content for packaged/retail furnishings where available.",product_identity_content_api,3
