access,acquisition_method,best_use,comparator_record_type,data_fit,domain,next_action,priority,public_display_guidance,region,source_file,source_id,source_name,source_package,source_type,url,vendor_positive_required_fields
Membership/licensing may be required for full standard/reference data,account_api_or_commercial_feed,"Authoritative aftermarket data standards: ACES for fitment, PIES for product/part information.",source,standard_backbone,auto_parts_fitment,request_api_key_account_or_feed_access,1,show structured facts and source/vendor links; do not clone page layout,US/Canada/Mexico,Comparator-definitions/data-sources/auto_parts_fitment/normalized/auto_parts_fitment_source_catalog.json,AUTOCARE_ACES_PIES,Auto Care Association ACES / PIES data standards,Auto_Parts_Fitment_Data_Sources_GitHub_Import_v0_1.zip,official_aftermarket_data_standards,https://www.autocare.org/data-standards,vendor_name;source_url;retrieved_date;purchase_or_source_link
Auto Care standards subscription/licensing required,manual_review,"Vehicle configuration, part categories, qualifiers and brand reference tables for serious fitment work.",source,reference_database,auto_parts_fitment,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,US/Canada/Mexico,Comparator-definitions/data-sources/auto_parts_fitment/normalized/auto_parts_fitment_source_catalog.json,AUTOCARE_VCDB_PCDB,Auto Care VCdb / PCdb / Qdb / Brand Table,Auto_Parts_Fitment_Data_Sources_GitHub_Import_v0_1.zip,official_aftermarket_reference_databases,https://www.autocare.org/data-standards,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public API,direct_download_or_public_api,Vehicle make/model/year/manufacturer reference layer; not a parts catalog.,offer_or_catalog,vehicle_reference,auto_parts_fitment,download_bulk_file_or_call_public_api,1,show structured facts and source/vendor links; do not clone page layout,US/international,Comparator-definitions/data-sources/auto_parts_fitment/normalized/auto_parts_fitment_source_catalog.json,NHTSA_VPIC,NHTSA vPIC vehicle API,Auto_Parts_Fitment_Data_Sources_GitHub_Import_v0_1.zip,official_vehicle_reference_api,https://vpic.nhtsa.dot.gov/api/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public Socrata/API/CSV export,direct_download_or_public_api,"Certified computers with brand/model, type, processor, memory, energy metrics and UPC/model information where provided.",source,verified_product_performance_records,computer_it_communications,download_bulk_file_or_call_public_api,1,show structured facts and source/vendor links; do not clone page layout,US/Canada reference,Comparator-definitions/data-sources/computer_it_communications/normalized/computer_it_communications_source_catalog.json,ENERGY_STAR_COMPUTERS,ENERGY STAR Certified Computers V9.0,Computer_IT_Communications_Product_Data_Sources_GitHub_Import_v0_1.zip,certified_product_dataset,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Computers-V9-0/rxdj-2c88,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public registry/product finder,manual_review,"Computers/displays, servers, imaging equipment, mobile phones and electronics sustainability certifications.",evidence,certification_evidence,computer_it_communications,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,global,Comparator-definitions/data-sources/computer_it_communications/normalized/computer_it_communications_source_catalog.json,EPEAT_REGISTRY,EPEAT Registry,Computer_IT_Communications_Product_Data_Sources_GitHub_Import_v0_1.zip,sustainability_certified_product_registry,https://www.epeat.net/product-finder,vendor_name;source_url;retrieved_date;purchase_or_source_link
Reseller access / FTP download,direct_download_or_public_api,Bulk price catalogue and inventory flat files; likely better for bulk catalog population than cyclic API calls.,offer_or_catalog,bulk_live_distributor_feed,computer_it_communications,download_bulk_file_or_call_public_api,1,show structured facts and source/vendor links; do not clone page layout,US/Canada/international,Comparator-definitions/data-sources/computer_it_communications/normalized/computer_it_communications_source_catalog.json,INGRAM_MICRO_FLAT_FILES,Ingram Micro price/inventory flat files,Computer_IT_Communications_Product_Data_Sources_GitHub_Import_v0_1.zip,it_distributor_catalog_flat_file,https://developer.ingrammicro.com/sites/default/files/apidoc_specs/catalog.v1_16.yaml,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public search tools; account for submissions,manual_review,"Radio equipment list, testing laboratories and company registration search tools for Canadian compliance.",evidence,regulatory_access_path,computer_it_communications,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/computer_it_communications/normalized/computer_it_communications_source_catalog.json,ISED_EQUIPMENT_CERT_REG,ISED Equipment Certification and Registration Services,Computer_IT_Communications_Product_Data_Sources_GitHub_Import_v0_1.zip,radio_wireless_certification_search_tools,https://ised-isde.canada.ca/site/spectrum-management-system/en/equipment-certification-and-registration-services,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public searchable registry,manual_review,"Certified radio equipment approved for use in Canada; evidence layer for phones, radios, Wi-Fi, Bluetooth, microwave/RF devices.",evidence,regulatory_evidence,computer_it_communications,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,Canada,Comparator-definitions/data-sources/computer_it_communications/normalized/computer_it_communications_source_catalog.json,ISED_REL,ISED Radio Equipment List,Computer_IT_Communications_Product_Data_Sources_GitHub_Import_v0_1.zip,certified_radio_equipment_registry,https://ised-isde.canada.ca/site/certification-engineering-bureau/en/wireless-program/radio-equipment-list-rel,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public XML download; updated nightly,direct_download_or_public_api,"Official vendor/product/version identifiers for software, operating systems and hardware platforms; vulnerability linkage.",classification,classification_identifier_evidence,computer_it_communications,download_bulk_file_or_call_public_api,1,show structured facts and source/vendor links; do not clone page layout,US/international,Comparator-definitions/data-sources/computer_it_communications/normalized/computer_it_communications_source_catalog.json,NVD_CPE_DICTIONARY,NIST NVD Official CPE Dictionary,Computer_IT_Communications_Product_Data_Sources_GitHub_Import_v0_1.zip,official_it_product_identifier_dictionary,https://nvd.nist.gov/products/cpe,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public registry/product information,manual_review,"Furniture safety/durability standards evidence, especially office and institutional furniture.",evidence,compliance_evidence,furnishings_furniture,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,North America/global,Comparator-definitions/data-sources/furnishings_furniture/normalized/furnishings_furniture_source_catalog.json,BIFMA_COMPLIANT,BIFMA Compliant registry,Furnishings_Furniture_Data_Sources_GitHub_Import_v0_1.zip,furniture_safety_durability_compliance_registry,https://www.bifma.org/page/bifma-compliant,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public product search,manual_review,Open/transparent sustainability certification evidence for furniture products.,evidence,certification_evidence,furnishings_furniture,open_source_review_then_assign_connector_type,1,show structured facts and source/vendor links; do not clone page layout,North America/global,Comparator-definitions/data-sources/furnishings_furniture/normalized/furnishings_furniture_source_catalog.json,BIFMA_LEVEL,BIFMA LEVEL product search,Furnishings_Furniture_Data_Sources_GitHub_Import_v0_1.zip,furniture_sustainability_certification_registry,https://level.bifma.org/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public website; no official bulk public API found,direct_download_or_public_api,"Current furniture, storage, kitchen, bedroom, office and home decor product reference.",offer_or_catalog,current_public_offer_reference,furnishings_furniture,download_bulk_file_or_call_public_api,1,show structured facts and source/vendor links; do not clone page layout,global/Canada,Comparator-definitions/data-sources/furnishings_furniture/normalized/furnishings_furniture_source_catalog.json,IKEA_PUBLIC_SITE,IKEA public product catalogue,Furnishings_Furniture_Data_Sources_GitHub_Import_v0_1.zip,retailer_public_catalog,https://www.ikea.com/ca/en/,vendor_name;source_url;retrieved_date;purchase_or_source_link
Public documentation; API key required for calls,account_api_or_commercial_feed,"Products, stores, categories and attributes documentation for Best Buy API suite.",offer_or_catalog,api_documentation,housewares_kitchen_appliances_clothing,request_api_key_account_or_feed_access,1,show structured facts and source/vendor links; do not clone page layout,US,Comparator-definitions/data-sources/housewares_kitchen_appliances_clothing/normalized/housewares_kitchen_appliances_clothing_source_catalog.json,BEST_BUY_API_DOCS,Best Buy Developer API documentation,Housewares_Kitchen_Appliances_Clothing_Data_Sources_GitHub_Import_v0_1.zip,retailer_api_docs,https://bestbuyapis.github.io/api-documentation/,vendor_name;source_url;retrieved_date;purchase_or_source_link
