source_id,name,type,region,access,url,best_use,data_fit,priority
AUTOCARE_ACES_PIES,Auto Care Association ACES / PIES data standards,official_aftermarket_data_standards,US/Canada/Mexico,Membership/licensing may be required for full standard/reference data,https://www.autocare.org/data-standards,"Authoritative aftermarket data standards: ACES for fitment, PIES for product/part information.",standard_backbone,1
AUTOCARE_VCDB_PCDB,Auto Care VCdb / PCdb / Qdb / Brand Table,official_aftermarket_reference_databases,US/Canada/Mexico,Auto Care standards subscription/licensing required,https://www.autocare.org/data-standards,"Vehicle configuration, part categories, qualifiers and brand reference tables for serious fitment work.",reference_database,1
ROCKAUTO_PUBLIC_CATALOG,RockAuto public parts catalog,public_auto_parts_retail_catalog,US/Canada/international,Public website; no official bulk API found,https://www.rockauto.com/en/catalog/,Very broad year/make/model/engine public parts reference and current retail offers.,current_public_offer_reference,2
ROCKAUTO_PART_SEARCH,RockAuto part number search,public_auto_parts_part_search,US/Canada/international,Public website,https://www.rockauto.com/en/partsearch/,Search by part number/manufacturer/part group/type; useful for part identity cross-checking.,part_identity_reference,2
NAPA_PUBLIC_CATALOG,NAPA Auto Parts public catalog,public_auto_parts_retail_catalog,US/Canada,Public website; regional store/pricing may vary,https://www.napaonline.com/,"Current NAPA aftermarket parts catalog, categories, brand/part info and local availability.",current_public_offer_reference,2
NAPA_PROLINK,NAPA PROLink,commercial_repair_shop_parts_catalog,US/Canada,Commercial account/login required,https://www.napaprolink.com/,"Professional repair-shop ordering, VIN scanning, in-stock parts and same-day delivery workflow.",commercial_parts_offer_source,2
NAPA_TRACS,NAPA TRACS / shop management ecosystem,shop_management_parts_integration,US/Canada,Commercial subscription/access,https://www.napatracs.com/,Shop management and parts integration context for professional auto repair.,commercial_workflow_reference,3
AUTOZONE_PUBLIC_CATALOG,AutoZone public auto parts catalog,public_auto_parts_retail_catalog,US,Public website; no official public catalog API found,https://www.autozone.com/parts,"Retail auto parts categories, fitment and current offer examples.",current_public_offer_reference,3
OREILLY_PUBLIC_CATALOG,O'Reilly Auto Parts public catalog,public_auto_parts_retail_catalog,US,Public website; no official public catalog API found,https://www.oreillyauto.com/,"Retail auto parts categories, fitment and current offer examples.",current_public_offer_reference,3
ADVANCE_AUTO_PUBLIC_CATALOG,Advance Auto Parts public catalog,public_auto_parts_retail_catalog,US,Public website; no official public catalog API found,https://shop.advanceautoparts.com/,"Retail auto parts categories, fitment and current offer examples.",current_public_offer_reference,3
PARTSAVATAR_CANADA,PartsAvatar Canada public catalog,public_auto_parts_retail_catalog,Canada,Public website,https://partsavatar.ca/,Canadian auto parts retail reference and local-market pricing examples.,current_public_offer_reference,3
SHOWMETHEPARTS,ShowMeTheParts,auto_parts_catalog_fitment_platform,US/Canada,Commercial platform/contact required,https://info.showmetheparts.com/,"ACES/PIES catalog creation, mapping, updating, e-commerce and fitment lookup platform.",commercial_catalog_platform,2
SHOWMETHEPARTS_API,ShowMeTheParts API,commercial_auto_parts_fitment_api,US/Canada,Commercial/API access required,https://info.showmetheparts.com/utilize-showmetheparts-api-for-detailed-searches-beyond-year-make-model/,"Year/make/model, VIN, license-plate and detailed part-fitment searches where available.",commercial_fitment_api,2
VERTICAL_DEVELOPMENT,Vertical Development auto parts catalog/fitment services,auto_parts_catalog_data_services,US/Canada,Commercial service,https://www.verticaldev.com/,"ACES/PIES expertise, catalog strategy, cleanup, mapping, data sync and delivery.",commercial_catalog_data_services,3
PDM_AUTOMOTIVE,PDM Automotive,auto_parts_product_data_platform,US/Canada,Commercial platform,https://pdmautomotive.com/,"ACES/PIES product data management, syndication and marketplace feeds.",commercial_pim_feed_platform,3
PARTS_SQUARE_CATALOG_DATA,Parts Square automotive catalog data,commercial_aces_pies_catalog_feed,multi-region,Commercial data/demo,https://square.parts/solutions/automotive-catalog-data,ACES/PIES-compliant catalog data with many brands and multi-region coverage.,commercial_catalog_feed,3
CATALOGBRIDGE_STANDARDS,CatalogBridge ACES / PIES standards reference,standards_reference,US/Canada,Public reference/commercial services,https://catalogbridge.com/standards,Plain-language ACES/PIES overview and resource pointer.,reference,4
NHTSA_VPIC,NHTSA vPIC vehicle API,official_vehicle_reference_api,US/international,Public API,https://vpic.nhtsa.dot.gov/api/,Vehicle make/model/year/manufacturer reference layer; not a parts catalog.,vehicle_reference,1
NHTSA_RECALLS,NHTSA recalls API,vehicle_recall_safety_api,US,Public API,https://www.nhtsa.gov/nhtsa-datasets-and-apis,Vehicle/part safety evidence and recalls context.,safety_evidence,2
TRANSPORT_CANADA_RECALLS,Transport Canada vehicle recalls,vehicle_recall_safety_dataset,Canada,Public search/download options,https://tc.canada.ca/en/road-transportation/defects-recalls-vehicles-tires-child-car-seats,"Canadian recall/safety evidence for vehicles, tires and child seats.",safety_evidence,2
