uid,title,vendor,year,source_type,domain,sector,scope,status,priority,sensitivity,conversion_mode,recommended_path,expected_tables,notes
SRC-0001,Open Food Facts bulk database,Open Food Facts,current bulk,Open Data Bulk,Food / Survival / Consumer Products,Human / Consumer; Market / Exchange,International; National,Current open-data source,High,Normal,Local processor; product identity and survival-value extracts,data-sources/open_food_facts/,food_product_identity; food_survival_value; food_brand_index; food_store_index; food_category_bricks,Already locally processed in first Canada run; raw JSONL stays local.
SRC-0002,NAPCS Canada 2022 product classification,Statistics Canada,2022,Official Classification,Product / Goods / Services Classification,Market / Exchange; Business / Commercial; Public / Government,National,Current official reference,High,Normal,Official taxonomy import; crosswalk layer,Comparator-definitions/taxonomy/canada/NAPCS_2022/,napcs_nodes; napcs_leaf_nodes; napcs_elements; comparator_crosswalk,"Use as official classification crosswalk, not as user-facing need tree replacement."
SRC-0003,ISED Financial Performance Data 2024,"Innovation, Science and Economic Development Canada",2024,Official Business Financial Benchmark,Small Business Calibration,Business / Commercial; Finance / Capital,National; Provincial,Current official benchmark,High,Normal,Normalized calibration profiles,data-sources/ised_fpd_2024/,business_type_calibration_profiles; financial_ratio_benchmarks; expense_benchmarks,Already packaged as GitHub-safe v0.2; raw ZIP should stay as Release asset.
SRC-0004,Statistics Canada cube downloads,Statistics Canada,various; local copies dated 2021,Official Statistical Cubes,Population / Labour / Education / CPI / Demographics,Public / Government; Human / Consumer; Market / Exchange,National; Provincial,Stale local copies; refreshable by PID,High,Aggregate statistics only,StatCan Cube Importer v0.1,data-sources/statcan_cubes/,source_inventory; zip_inventory; cube_metadata; dimensions; dimension_members; observations_parquet; comparator_mapping,Initial sample import succeeded; latest-PID refresh is next.
SRC-0005,GS1 GPC Browser and barcode/product identity references,GS1 / GS1 Canada,current,Product Identity / Classification Reference,Barcodes / GPC Bricks / Product Identity,Market / Exchange; Business / Commercial,International; National,Acquisition target,High,Normal,Crosswalk/product identity reference,data-sources/product_identity/gs1_gpc/,gpc_segments; gpc_families; gpc_classes; gpc_bricks; barcode_identity_crosswalk,Use brick terminology for product-level datagrid refinement.
SRC-0006,NVD CPE,NIST / NVD,current,Open Technical Classification,Computer / IT product identity,Information / Records; Market / Exchange,International,Acquisition target,Medium,Normal,CPE dictionary import,data-sources/it_products/nvd_cpe/,software_hardware_cpe; vendor_product_versions,"Useful for IT/software product identity, not retail SKU pricing."
SRC-0007,ENERGY STAR product datasets,ENERGY STAR,current,Open Product/Efficiency Dataset,Appliances / HVAC / Energy,Human / Consumer; Market / Exchange; Resources / Environment,National; International,Acquisition target,High,Normal,Downloadable CSV/product dataset,data-sources/energy_appliances/energy_star/,certified_products; efficiency_specs; category_crosswalk,High value for appliance and building-system comparison.
SRC-0008,NHTSA vehicle datasets,NHTSA,current,Open Vehicle Dataset,Vehicles / Safety / VIN,Human / Consumer; Public / Government; Market / Exchange,National,Acquisition target,High,Normal,API/CSV vehicle reference,data-sources/transportation/nhtsa/,vehicle_make_model; safety_recalls; vin_decode_fields,Use to refresh vehicle taxonomy and current safety info.
SRC-0100,Essentra Components Catalog Volume 14,Essentra Components / Alliance / Reid / Richco,2014,Industrial Component Catalog,Industrial Components / Hardware / Fasteners / Motion / Electronics,Business / Commercial; Market / Exchange,Organizational,Historical catalog; current families likely online,Very High,Normal,PDF table extraction by section,data-sources/catalog_conversions/industrial_components/essentra_2014/,industrial_components; essentra_category_tree; component_spec_dictionary,"Over 1,000 pages; structured contents and repeated item/spec tables."
SRC-0101,Faucher complete truck-body hardware set,Faucher,2011-2014,Truck Body Hardware Catalog Set,Truck Body / Camper / Emergency Vehicle Components,Business / Commercial; Market / Exchange,Organizational,Historical/current mixed; many items likely current equivalents,Very High,Normal,Small PDFs; direct table extraction,data-sources/catalog_conversions/truck_body_hardware/faucher/,truck_body_hardware_items; truck_body_hardware_category_tree; truck_body_spec_dictionary,"Handles, locks/latches, gas springs, hinges, adhesives, rubber, fasteners, cargo control, heaters, lights."
SRC-0102,"Parker Hose, Fittings and Equipment Catalog 4400",Parker Hannifin,2015,Fluid Power / Hose Catalog,Hydraulic Hose / Fittings / Safety / Crimping,Business / Commercial; Market / Exchange,Organizational,Historical catalog; technical reference,Very High,Safety-critical technical selection,Section extraction and safety-rule dictionary,data-sources/catalog_conversions/fluid_power/parker_hose_4400/,hose_products; hose_fittings; crimp_equipment; hose_selection_rules; safety_notes,Keep safety warnings and do-not-mix rules attached to records.
SRC-0103,Gregg Distributors Product Catalogue,Gregg Distributors Ltd.,2016,Canadian Industrial Supply Catalog,Industrial MRO / Tools / Fasteners / Safety / Automotive / Hose,Business / Commercial; Human / Consumer; Market / Exchange,Organizational; Provincial/State,Historical catalog; Canadian supplier reference,Very High,Normal; safety sections flagged,Large catalog; sectioned extraction queue,data-sources/catalog_conversions/canadian_industrial_supply/gregg_2016/,gregg_catalog_items; gregg_section_tree; supplier_branch_records; mro_category_index,"2,600+ pages; convert by section rather than whole catalog at once."
SRC-0104,80/20 Catalog 20,80/20 Inc.,circa 2014,Modular Framing System Catalog,T-Slot Aluminum / Modular Framing / Machine Guards / Workstations,Business / Commercial; Market / Exchange,Organizational; Personal,Historical catalog; current online refresh possible,Very High,Normal,"Profiles, fasteners, panels, add-ons, linear motion tables",data-sources/catalog_conversions/modular_framing/8020_catalog_20/,t_slot_profiles; modular_fasteners; panels_doors; add_on_components; profile_spec_dictionary,Duplicate uploaded as Catalog_20_20 and Catalog_80_20; keep one master source.
SRC-0105,Grote Lighting Systems and Electrical Catalogs,Grote,2016,Vehicle Electrical / Lighting Catalog Set,Vehicle Lighting / Wiring / Connectors / Fuse Protection,Business / Commercial; Market / Exchange,Organizational,Historical catalog; current online likely,Very High,Safety-critical vehicle electrical,Catalog-set extraction with technical notes,data-sources/catalog_conversions/vehicle_electrical/grote_2016/,vehicle_lighting; electrical_connectors; fuse_circuit_protection; interchange_lists; technical_notes,"Includes lighting, electrical connection, fuse/circuit protection."
SRC-0106,"GPH / Nexans mechanical connectors, cable lugs and clamps",GPH / Nexans Power Accessories,2007-2010,Electrical Power Hardware Catalog Set,Power Cable Connectors / Cable Lugs / Overhead Clamps,Business / Commercial; Infrastructure / Logistics; Public / Government,Organizational,Historical technical catalog,High,Safety-critical electrical power,Technical catalog extraction with standards fields,data-sources/catalog_conversions/electrical_power/gph_nexans/,mechanical_connectors; cable_lugs; overhead_line_clamps; conductor_compatibility; standards_notes,Flag voltage ranges and VDE/IEC references; not consumer DIY guidance.
SRC-0107,Aluminum Fastener Supply Product Catalog,Aluminum Fastener Supply Co.,unknown,Fastener Catalog,Aluminum Fasteners / Nuts / Washers / Screws / Technical Data,Business / Commercial; Market / Exchange,Organizational,Historical/current mixed,High,Normal,Fastener taxonomy and spec extraction,data-sources/catalog_conversions/fasteners/aluminum_fastener_supply/,aluminum_fasteners; fastener_technical_data; aluminum_fastener_material_notes,Good for aluminum-compatible fastener comparison.
SRC-0108,Tyrolit Specialised Precision Product Catalogue,Tyrolit,2011,Abrasives / Grinding Technical Catalog,Grinding / Cutting / Dressing / Abrasives,Business / Commercial; Market / Exchange,Organizational,Historical technical catalog,High,Safety-critical rotating abrasive tools,Product/application classification and safety notes,data-sources/catalog_conversions/abrasives_grinding/tyrolit_precision/,grinding_wheels; abrasive_applications; wheel_shape_dictionary; safety_notes,Useful for material/tooling application matrix.
SRC-0109,Ortlieb Clamping Systems Catalogue,Ortlieb,2011-2012,Workholding / Clamping Catalog,Clamping Systems / Collets / Drive Systems,Business / Commercial,Organizational,Historical technical catalog,High,Normal,Technical catalog extraction,data-sources/catalog_conversions/workholding_clamping/ortlieb_2011/,clamping_systems; collets; drive_systems; application_notes,Useful for tooling/workholding classification.
SRC-0110,KNA Fluid Power hose/fitting cross-reference,KNA Fluid Power,unknown,Hydraulic Hose/Fitting Cross Reference,Hydraulic Hose / Fittings / Cross Reference,Business / Commercial; Market / Exchange,Organizational,Historical/current mixed,High,Safety-critical cross-reference,Cross-reference table extraction,data-sources/catalog_conversions/fluid_power/kna_hose_cross_reference/,hose_fitting_cross_reference; manufacturer_equivalents,"Maps KNA to Dayco, Parker, Aeroquip, Gates."
SRC-0111,LM Industries Product Catalogue & Technical Reference,Leduc Mechanical Industries,unknown,Vacuum / Water Truck Parts Catalog,Vacuum Trucks / Pumps / Valves / Hoses / Manways / Hydraulics,Business / Commercial; Infrastructure / Logistics,Organizational,Historical/current mixed,High,Safety-critical fluid/vacuum systems,Technical catalog extraction,data-sources/catalog_conversions/vacuum_water_truck/lm_industries/,vacuum_truck_components; pumps; valves; hoses; shutoffs; troubleshooting_notes,"Over 5,200 parts claimed in inventory; good system-component source."
