job_id,method,notes,priority,source_id,source_name,status,target_record_type,url
BLDG-ACQ-0001,registry_search_or_api,"Canadian energy-efficiency records for windows, doors, water heaters, heat pumps and other regulated/ENERGY STAR products.",1,NRCAN_SPL,Natural Resources Canada Searchable Product List,not_started,evidence_performance_registry,https://spl-lpi.nrcan-rncan.gc.ca/
BLDG-ACQ-0002,registry_search_or_api,Canadian certified product category list including water heaters and windows/doors/skylights.,1,NRCAN_ENERGY_STAR_CERTIFIED_PRODUCTS,NRCan ENERGY STAR certified products,not_started,evidence_performance_registry,https://natural-resources.canada.ca/energy-efficiency/energy-star/products/list-certified-products
BLDG-ACQ-0003,registry_search_or_api,"Certified windows, doors and skylights with independently verified performance ratings.",1,NFRC_CPD,NFRC Certified Products Directory,not_started,evidence_performance_registry,https://nfrc.org/certified-product-directory/
BLDG-ACQ-0004,registry_search_or_api,"Certified HVACR equipment performance records for heat pumps, air conditioners, furnaces, water heating and ventilation categories.",1,AHRI_DIRECTORY,AHRI Directory of Certified Product Performance,not_started,evidence_performance_registry,https://ahridirectory.org/
BLDG-ACQ-0005,registry_search_or_api,Commercial/industrial LED lighting and controls verification; strong lighting evidence layer.,1,DLC_QPL,DesignLights Consortium Qualified Products Lists,not_started,evidence_performance_registry,https://designlights.org/qpl/
BLDG-ACQ-0006,registry_search_or_api,"Canadian building-product code/evaluation evidence for materials, systems and assemblies.",1,CCMC_REGISTRY,Canadian Construction Materials Centre Registry,not_started,code_compliance_evidence,https://nrc.canada.ca/en/certifications-evaluations-standards/canadian-construction-materials-centre/ccmc-publications/registry.html
BLDG-ACQ-0007,registry_search_or_api,Evaluation reports for code officials and approved building products.,2,ICC_ES_REPORTS,ICC-ES Reports Directory,not_started,code_compliance_evidence,https://icc-es.org/reports-directory/
BLDG-ACQ-0008,registry_search_or_api,"UL-certified evidence for electrical, fire-rated and safety-related components.",2,UL_PRODUCT_IQ,UL Product iQ,not_started,certification_evidence,https://productiq.ulprospector.com/
BLDG-ACQ-0009,registry_search_or_api,CSA-certified electrical/mechanical/building product evidence.,2,CSA_GROUP_CERTIFICATION,CSA Group Product Listing,not_started,certification_evidence,https://www.csagroup.org/testing-certification/product-listing/
BLDG-ACQ-0010,pdf_catalog_download_parse,"Windows, exterior/interior doors, patio doors, size guides, architectural guides and installation documents.",1,JELD_WEN_CANADA_DOCUMENTS,JELD-WEN Canada brochures/documents,not_started,manufacturer_catalog_spec_reference,https://www.jeld-wen.ca/product-support/documents
BLDG-ACQ-0011,pdf_catalog_download_parse,"Exterior/interior doors, wood doors, solid core and residential door product catalogs.",1,MASONITE_CATALOGS,Masonite product catalogs,not_started,manufacturer_catalog_spec_reference,https://www.masonite.com/catalogs/
BLDG-ACQ-0012,pdf_catalog_download_parse,"Entry and patio door systems, glass, finishing, fire-rated/impact-rated options and product literature.",1,THERMA_TRU_LITERATURE,Therma-Tru catalogs and brochures,not_started,manufacturer_catalog_spec_reference,https://www.thermatru.com/inspiration/literature/
BLDG-ACQ-0013,pdf_catalog_download_parse,"Canadian residential garage doors, styles, R-values, materials, models and options.",1,GARAGA_RESIDENTIAL_SELECTION,Garaga residential garage door selection guide,not_started,manufacturer_catalog_spec_reference,https://www.garaga.com/ca/garage-doors/residential/selection-guide
BLDG-ACQ-0014,pdf_catalog_download_parse,"Garage door Revit, AutoCAD, specs and brochures.",2,GARAGA_ARCHITECTS,Garaga architects/resources,not_started,bim_spec_reference,https://www.garaga.com/ca/professionals/architects
BLDG-ACQ-0015,pdf_catalog_download_parse,"Hollow metal doors, steel frames, fire labelling and technical catalogs.",1,FLEMING_DOOR_TECHNICAL,Fleming Door / ASSA ABLOY technical information,not_started,manufacturer_catalog_spec_reference,https://www.flemingdoor.com/en/customer-resources/literature-and-technical-information/technical-information
BLDG-ACQ-0016,pdf_catalog_download_parse,"Fire-rated steel doors/frames, labels, 20 minute to 3 hour ratings.",2,STEELCRAFT_FIRE_RATED,Steelcraft fire-rated steel doors and frames,not_started,manufacturer_catalog_spec_reference,https://www.steelcraft.com/en/products/applications/fire-rated-steel-doors-and-frames.html
BLDG-ACQ-0017,pdf_catalog_download_parse,Commercial steel doors and hollow metal frames; architectural guide references.,2,CECO_DOOR,Ceco Door commercial steel doors and frames,not_started,manufacturer_catalog_spec_reference,https://www.cecodoor.com/en
BLDG-ACQ-0018,public_page_parse,"Certified steel door/frame guides, fire labeling guide, recommended selection/use guides.",2,CSDMA_GUIDES,CSDMA guides and technical specs,not_started,standards_reference,https://csdma.org/publications/
BLDG-ACQ-0019,pdf_catalog_download_parse,"Heat pumps, air conditioners, furnaces, air handlers, product data and literature.",2,CARRIER_RESIDENTIAL_CA,Carrier Residential Canada,not_started,manufacturer_catalog_spec_reference,https://www.carrier.com/residential/en/ca/
BLDG-ACQ-0020,pdf_catalog_download_parse,"Water heaters, furnaces, air conditioners, heat pumps and commercial/residential systems.",2,RHEEM_CANADA,Rheem Canada,not_started,manufacturer_catalog_spec_reference,https://www.rheem.ca/
BLDG-ACQ-0021,pdf_catalog_download_parse,"Residential water heater models, product lines, specifications and ENERGY STAR references.",1,AOSMITH_RESIDENTIAL_CATALOG,A. O. Smith residential product catalog,not_started,manufacturer_catalog_spec_reference,https://assets.hotwater.com/damroot/Original/10001/AOSRB80000.pdf
BLDG-ACQ-0022,pdf_catalog_download_parse,"Water heater product details, specs and professional catalog resources.",2,BRADFORD_WHITE_DIGITAL_CATALOGS,Bradford White digital pocket catalogs,not_started,manufacturer_catalog_spec_reference,https://forthepro.bradfordwhite.com/digital-pocket-catalogs/
BLDG-ACQ-0023,pdf_catalog_download_parse,"Stack duct, trunk duct, cleats, duct fittings, round pipe, elbows and duct sections.",1,IMPERIAL_GALVANIZED_DUCT_CATALOG,"Imperial galvanized duct, pipe and fittings catalogue",not_started,manufacturer_catalog_spec_reference,https://imperialgroup.s3.amazonaws.com/site/PP1142-Galvanized-Catalogue-En-2024-12-10-01.41-PM.pdf
BLDG-ACQ-0024,pdf_catalog_download_parse,"Catalogs/data sheets for registers/grilles, venting/flexible duct and galvanized duct.",1,IMPERIAL_DOCUMENTS,Imperial Manufacturing documents,not_started,manufacturer_catalog_spec_reference,https://www.imperialgroup.ca/documents
BLDG-ACQ-0025,pdf_catalog_download_parse,"Aluminum railing systems, stair rail components, posts, pickets, glass and LED rail products.",2,REGAL_IDEAS_PRODUCTS,Regal ideas railing products,not_started,manufacturer_catalog_spec_reference,https://regalideas.com/products/
BLDG-ACQ-0026,pdf_catalog_download_parse,"Catalogs, product flyers, railing layout planners, stair systems and installation resources.",2,REGAL_IDEAS_DOWNLOADS,Regal ideas downloads,not_started,manufacturer_catalog_spec_reference,https://regalideas.com/resources/downloads/
BLDG-ACQ-0027,pdf_catalog_download_parse,"Railing/stair panel kits with item numbers, UPCs, dimensions and kit contents.",2,FORTRESS_RAILING_INSPIRE_PDF,Fortress Building Products Inspire railing PDF,not_started,manufacturer_catalog_spec_reference,https://fortressbp.com/Documents/fbp-railingsalessheet-inspire-v01s-0.pdf
