source_id,name,type,region,access,url,best_use,data_fit,priority
ENERGY_STAR_PRODUCT_FINDER,ENERGY STAR Product Finder datasets,certified_product_datasets,US/Canada reference,Public datasets; CSV/XML/API exports,https://www.energystar.gov/productfinder/advanced,"Appliances and energy-related household products such as refrigerators, freezers, dishwashers, cooking products, clothes washers, dryers, room AC and dehumidifiers.",verified_product_performance_records,1
ENERGY_STAR_RESIDENTIAL_REFRIGERATORS,ENERGY STAR Certified Residential Refrigerators,certified_appliance_dataset,US/Canada reference,Public Socrata/API/CSV export,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Residential-Refrigerators/p5st-her9,Model-level refrigerator/freezer product records and efficiency metrics.,verified_appliance_records,1
ENERGY_STAR_ELECTRIC_COOKING,ENERGY STAR Certified Residential Electric Cooking Products,certified_appliance_dataset,US/Canada reference,Public CSV/API via data.gov / ENERGY STAR data,https://catalog.data.gov/dataset/energy-star-certified-residential-electric-cooking-products,"Certified electric cooking appliances; useful for stoves, ranges and cooktops where covered.",verified_appliance_records,1
NRCAN_ENERGY_STAR_PRODUCTS,Natural Resources Canada ENERGY STAR certified products,certified_product_lists,Canada,Public searchable product pages,https://natural-resources.canada.ca/energy-efficiency/energy-star/products/list-certified-products,Canadian ENERGY STAR product categories and consumer reference lists.,verified_product_performance_records,1
BEST_BUY_PRODUCTS_API,Best Buy Products API,retailer_catalog_api,US,Developer API key required,https://developer.bestbuy.com/apis,"Large current/historical product catalog with pricing, availability, specifications, descriptions and images; strong for appliances and electronics.",live_retail_offer_source,1
BEST_BUY_API_DOCS,Best Buy Developer API documentation,retailer_api_docs,US,Public documentation; API key required for calls,https://bestbuyapis.github.io/api-documentation/,"Products, stores, categories and attributes documentation for Best Buy API suite.",api_documentation,1
BEST_BUY_BULK_CLI,Best Buy API CLI / bulk download tooling,retailer_api_tooling,US,Open-source GitHub tooling; API key required,https://github.com/bestbuyapis,Bulk download tooling and documentation repository for Best Buy catalog API.,bulk_catalog_tooling,2
BEST_BUY_CANADA_APP_ENDPOINTS,Best Buy Canada mobile app API configuration,retailer_public_api_reference,Canada,Observed public app endpoints; terms/availability uncertain,https://www.bestbuy.ca/ns/mobile/android/configuration/v1.3.0/en,Best Buy Canada product/search/category/review/availability endpoint references; investigate carefully before production use.,candidate_current_offer_source,3
GS1_GPC,GS1 Global Product Classification,official_global_product_classification,global,Public browser and standard files,https://www.gs1.org/standards/gpc/access-gpc-standards,"Classification backbone for housewares, kitchenware, appliances, apparel, footwear and accessories.",classification,1
GS1_CA_ECCNET,GS1 Canada ECCnet Registry / Content API,canadian_product_registry_api,Canada,GS1 Canada membership/API access required,https://gs1ca.org/content-access/,"Canadian product listing data, images and product-content access via ECCnet Content API.",product_registry_api,2
GO_UPC,Go-UPC Global Barcode Database API,global_barcode_product_api,global,Paid/free tier API,https://go-upc.com/,"UPC/EAN/ISBN lookup for housewares, kitchenware, appliances and clothing when barcode is known.",barcode_lookup,3
OPEN_PRODUCTS_FACTS,Open Products Facts,open_product_database,global,Open data / API; coverage uneven,https://world.openproductsfacts.org/,Open product database for non-food goods; useful as an experimental household-goods barcode/product source.,open_product_reference,3
OPEN_FOOD_FACTS_API,Open Food Facts API family,open_product_api_family,global,Open API,https://openfoodfacts.github.io/openfoodfacts-server/api/,"Food database primarily, but Open Food Facts ecosystem also handles cosmetics, pet food and other products; useful API pattern/source family.",open_product_api_reference,3
SKULYTICS,Skulytics Appliance / Furniture / Mattress Product Data API,commercial_product_api,US/Canada likely,Commercial API,https://skulytics.io/,"Product data infrastructure for appliances, furniture and mattresses across 300+ brands.",commercial_product_feed,3
PARAM_AGGARWAL_FASHION_SMALL,Fashion Product Images Small,fashion_dataset,global,Kaggle dataset/account terms apply,https://www.kaggle.com/datasets/paramaggarwal/fashion-product-images-small,"Fashion catalogue image/spec dataset using styles.csv with product IDs, categories and images.",fashion_catalog_dataset,2
PARAM_AGGARWAL_FASHION_FULL,Fashion Product Images Dataset,fashion_dataset,global,Kaggle dataset/account terms apply,https://www.kaggle.com/datasets/paramaggarwal/fashion-product-images-dataset,"Larger clothing/accessory/fashion product dataset with category labels, descriptions and images.",fashion_catalog_dataset,2
HUGGINGFACE_FASHION_PRODUCT_IMAGES_SMALL,Hugging Face Fashion Product Images Small,fashion_dataset,global,Public Hugging Face dataset,https://huggingface.co/datasets/ashraq/fashion-product-images-small,Fashion product images and metadata mirrored on Hugging Face; useful for offline classification tests.,fashion_catalog_dataset,2
FASHIONPEDIA,Fashionpedia Dataset,fashion_attribute_dataset,global,Research dataset; terms apply,https://fashionpedia.github.io/home/,"48,825 clothing images with segmentation and fine-grained attributes.",fashion_attribute_reference,3
ATLAS_CLOTHING_DATASET,Atlas Clothing Product Categorization Dataset,fashion_taxonomy_dataset,global,Research/GitHub dataset,https://github.com/vumaasha/atlas,"Clothing taxonomy dataset described as 186,150 images, 3-level taxonomy and 52 leaf nodes.",fashion_taxonomy_dataset,3
IMATERIALIST_FASHION,iMaterialist Fashion Attribute Dataset,fashion_attribute_dataset,global,Research/GitHub dataset,https://github.com/visipedia/imat_fashion_comp,Million-scale multi-label fine-grained fashion attribute dataset reference.,fashion_attribute_dataset,3
